"","Player","POS","Team","Age","GP","W","L","Min","PTS"
"70.1","Bradley Beal","SG","WAS",29,50,24,26,1672.9,1160
"269.1","Edmond Sumner","PG","BKN",27,53,33,20,736.2,378
"93","Malik Beasley","SG","LAL",26,81,45,36,2093.1,1025
"128","Mike Conley","PG","MIN",35,67,34,33,2028.1,798
"3.1","Luka Doncic","PG","DAL",24,66,33,33,2390.5,2138
"212","Josh Green","SG","DAL",22,60,27,33,1539.2,546
"262","Gary Harris","SG","ORL",28,48,22,26,1184.4,397
"292","Joe Ingles","SG","MIL",35,46,32,14,1043.5,317
"246","Victor Oladipo","SG","MIA",30,42,23,19,1105.6,449
"251","Xavier Tillman","F","MEM",24,61,40,21,1180.1,429
"77","Kevin Porter Jr.","SG","HOU",22,59,18,41,2023.9,1130
"196","Jalen Duren","C","DET",19,67,16,51,1670.1,612
"235.1","Aaron Wiggins","SG","OKC",24,70,37,33,1297.4,479
"30","Klay Thompson","SG","GSW",33,69,38,31,2278.9,1509
"67","Deandre Ayton","C","PHX",24,67,36,31,2035.3,1203
"169.1","Cedi Osman","SF","CLE",28,77,48,29,1548.3,669
"289","Chimezie Metu","PF","SAC",26,66,41,25,689,321
"283","Isaiah Livers","PF","DET",24,52,10,42,1198.7,346
"8.1","Donovan Mitchell","SG","CLE",26,68,44,24,2432.4,1922
"103","Jarrett Allen","C","CLE",25,68,44,24,2220.1,969
"43","Kyle Kuzma","SF","WAS",27,64,29,35,2238.9,1357
"197","Cam Thomas","SG","BKN",21,57,30,27,947.6,604
"110","Caris LeVert","SG","CLE",28,74,45,29,2237.3,897
"197.1","Cam Thomas","SG","BKN",21,57,30,27,947.6,604
"66.1","Jaden Ivey","PG","DET",21,74,16,58,2304.3,1204
"147","Terance Mann","SG","LAC",26,81,44,37,1872.2,713
"209.1","Brandon Clarke","PF","MEM",26,56,32,24,1090.1,559
"105","Jaden McDaniels","PF","MIN",22,79,41,38,2416.5,953
"187","Shake Milton","SG","PHI",26,76,52,24,1567.4,637
"167","Malaki Branham","G","SAS",19,66,15,51,1549.6,673
"159.1","Jusuf Nurkic","C","POR",28,52,24,28,1391.4,694
"191","Jarred Vanderbilt","PF","LAL",24,78,43,35,1879.7,619
"213","Luke Kennard","SG","MEM",26,59,37,22,1315.1,546
"235.2","Aaron Wiggins","SG","OKC",24,70,37,33,1297.4,479
"46","Fred VanVleet","SG","TOR",29,69,34,35,2535,1335
"92.1","De'Andre Hunter","SF","ATL",25,67,35,32,2125.6,1029
"43.1","Kyle Kuzma","SF","WAS",27,64,29,35,2238.9,1357
"17","Nikola Jokic","C","DEN",28,69,48,21,2323,1690
