Obs,Name,Gender,Fixed,Color,Heritage,Age,Weight,Size
42,Suzy,Female,Yes,Other,Mixed breed/unknown,7,80,Large
43,Rossi,Male,Yes,White,Mixed breed/unknown,1,30,Medium
44,Wyatt ,Male,Yes,No primary color,Mixed breed/unknown,0.42,20,Small
45,Noodle,Female,Yes,White,Single breed,8,25,Medium
46,Bean,Male,Yes,Black,Single breed,2,30,Medium
47,Grady,Male,Yes,Other,Mixed breed/unknown,12,72,Large
48,Tess,Female,Yes,Reddish,Mixed breed/unknown,2,70,Large
49,Piper,Female,Yes,Other,Mixed breed/unknown,,1.5,Large
50,Dixie,Female,Yes,Yellow/blond,Mixed breed/unknown,12,50,Medium
51,Sabot,Male,Yes,White,Mixed breed/unknown,7,75,Large
52,Sansa,Female,Yes,Black,Single breed,4,68,Large
53,Henry,Male,Yes,Dark brown,Mixed breed/unknown,7,24,Small
54,Dudley,Male,Yes,Black,"Designer/deliberate mix (e.g., labradoodles)",12,85,Large
55,Penny,Female,Yes,Reddish,"Designer/deliberate mix (e.g., labradoodles)",2,60,Medium
56,Cortana,Female,Yes,Reddish,Single breed,8,45,Medium
57,Bentley,Male,No,Yellow/blond,Single breed,2,30,Medium
58,Minnie,Female,No,Reddish,Single breed,2,15,Small
59,Luke Skywoofer,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",6,37.4,Medium
60,Hugo,Male,Yes,Dark brown,Single breed,3,70,Large
61,Beckett,Female,Yes,Dark brown,Single breed,2,93,Large
62,Cassius,Male,Yes,Black,Mixed breed/unknown,1.33,62,Large
63,Diesel,Male,Yes,Black,Mixed breed/unknown,9,50,Medium
64,Sabrina ,Female,Yes,Reddish,Mixed breed/unknown,12,31,Medium
65,Linus,Male,Yes,White,Single breed,13,16,Small
66,Ralph,Male,Yes,Black,Single breed,7,83,Large
67,Aristotle,Male,Yes,Yellow/blond,Mixed breed/unknown,3,40,Medium
68,Millie,Female,Yes,Yellow/blond,Single breed,0.75,50,Medium
69,Ruby,Female,Yes,Yellow/blond,Mixed breed/unknown,3,50,Medium
70,Bernard,Male,Yes,Black,Mixed breed/unknown,7,38,Medium
71,Salju,Male,Yes,White,Mixed breed/unknown,1.16,48,Large
72,Tyson,Male,Yes,No primary color,Single breed,1.08,50,Medium
73,Mobie,Male,Yes,Black,Mixed breed/unknown,8,5,Toy
74,Lola,Female,Yes,Yellow/blond,Mixed breed/unknown,3,13,Small
75,Scout,Male,Yes,White,Mixed breed/unknown,2,35,Medium
76,Azul,Male,Yes,Black,Mixed breed/unknown,0.58,50,Large
77,Banana ,Male,Yes,Black,Mixed breed/unknown,0.5,30,Medium
78,Plum,Female,Yes,Light brown,Mixed breed/unknown,0.46,12,Small
79,Rampage Jackson,Male,Yes,Black,Single breed,14,24,Small
80,Bingo,Male,Yes,Light brown,Single breed,3,20,Small
81,Luna,Female,No,Yellow/blond,Single breed,5,51,Large
82,Lambeaux ,Male,Yes,Light brown,Mixed breed/unknown,12,65,Large
83,Daisy,Female,Yes,Black,Mixed breed/unknown,14,60,Large
84,Nacho,Male,Yes,Black,Mixed breed/unknown,13,30,Medium
85,Polo,Male,Yes,Black,Mixed breed/unknown,6,66,Medium
86,Rosie,Female,Yes,Black,Single breed,4,65,Large
87,Molly,Female,Yes,Black,Mixed breed/unknown,16,20,Medium
88,Rufus,Male,Yes,Yellow/blond,Single breed,5,95,Large
89,Jacob,Male,Yes,Yellow/blond,Mixed breed/unknown,10,,Medium
90,Tate,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",9,50,Medium
91,Apple,Female,Yes,White,Single breed,3,15,Small
92,Henry,Male,Yes,White,Single breed,6,16,Small
93,Apollo,Male,Yes,Black,Mixed breed/unknown,6,165,Humongous
94,Winston ,Male,Yes,Reddish,"Designer/deliberate mix (e.g., labradoodles)",6,145,Humongous
95,Lun,Female,Yes,Yellow/blond,Single breed,5,24,Small
96,Murray,Male,Yes,Light brown,Single breed,4,25,Small
97,Daphne,Female,Yes,No primary color,"Designer/deliberate mix (e.g., labradoodles)",4,28,Small
98,Jax,Male,Yes,Yellow/blond,"Designer/deliberate mix (e.g., labradoodles)",3,19,Small
99,Murphy,Male,Yes,Black,Mixed breed/unknown,5,50,Medium
100,Hank,Male,No,Other,Single breed,3,135,Humongous
101,Addy,Female,Yes,Black,Mixed breed/unknown,14,20,Medium
102,Duke,Male,Yes,Black,Mixed breed/unknown,4,50,Medium
103,Frank,Male,Yes,No primary color,Mixed breed/unknown,11,38,Medium
104,Whistler,Female,Yes,Black,Mixed breed/unknown,11,25,Small
105,Reyka,Female,Yes,Yellow/blond,Mixed breed/unknown,3,55,Medium
106,Shannon ,Female,Yes,Light brown,Single breed,2,50,Medium
107,Sterling ,Male,Yes,White,Single breed,6,32,Medium
108,Malory ,Female,Yes,Light brown,Single breed,2,45,Large
109,Ivy ,Female,Yes,Black,Single breed,2,27,Medium
110,Layla,Female,Yes,White,Mixed breed/unknown,13,70,Large
111,Jemma,Female,Yes,Dark brown,Single breed,12,85,Medium
112,Sadie,Female,Yes,Reddish,Single breed,16,18,Small
113,Theodore ,Male,Yes,White,Single breed,8,144,Humongous
114,Daisy,Female,Yes,Light brown,Single breed,7,145,Humongous
115,Theo,Male,No,White,Mixed breed/unknown,0.83,64,Large
116,Lucy,Female,Yes,Light brown,Mixed breed/unknown,7,45,Medium
117,Pumpkin,Female,Yes,Reddish,Mixed breed/unknown,4,45,Medium
118,Neri,Female,Yes,White,Mixed breed/unknown,9,40,Medium
119,Winston,Male,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",3,35,Medium
120,Frankie,Male,No,Light brown,"Designer/deliberate mix (e.g., labradoodles)",0.5,22,Medium
121,Oliver,Male,Yes,Reddish,Mixed breed/unknown,13,15,Small
122,Murphy,Male,Yes,White,Single breed,0.75,16,Small
123,Lucy,Female,Yes,Light brown,Single breed,9,56,Large
124,Mik,Male,Yes,Black,Single breed,10,56,Large
125,Bash,Male,Yes,Light brown,Single breed,6,33,Medium
126,Kaycee,Female,Yes,Dark brown,Single breed,2,28,Medium
127,Chiqui,Female,Yes,Reddish,Mixed breed/unknown,12,8,Small
128,Jack,Male,Yes,White,Mixed breed/unknown,12,25,Medium
129,Hope,Female,Yes,Dark brown,Mixed breed/unknown,18,30,Medium
130,Ellie,Female,Yes,Dark brown,Mixed breed/unknown,5.5,38,Medium
131,Sierra,Female,Yes,Other,Mixed breed/unknown,11.5,40,Medium
132,Franklin Benjamin,Male,Yes,Light brown,Mixed breed/unknown,6,30,Medium
133,Mr. Bentley Beans,Male,Yes,White,Mixed breed/unknown,10,20,Small
134,Willow,Female,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",3,36,Medium
135,Mad Dog,Male,No,Black,Single breed,4,15,Small
136,Mongo,Male,Yes,Black,Mixed breed/unknown,8,117,Humongous
137,Cyrax,Male,No,Dark brown,Single breed,2,90,Large
138,Duke,Male,Yes,White,Single breed,6,5,Small
139,Waffles ,Female,Yes,Yellow/blond,Mixed breed/unknown,2,75,Large
140,Merle,Male,Yes,Light brown,Mixed breed/unknown,1,35,Medium
141,Nena,Female,Yes,Other,Mixed breed/unknown,2.5,40,Medium
142,Harley,Female,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",12,150,Humongous
143,Maggie,Female,Yes,Black,Mixed breed/unknown,5,60,Large
144,Chloe,Female,Yes,White,Single breed,11.5,35,Medium
145,Bear,Female,Yes,Other,Single breed,17,14,Small
146,Rosco ,Male,Yes,No primary color,Single breed,15,14,Small
147,Calix ,Male,Yes,Black,Single breed,14.75,65,Large
148,Leukos,Male,Yes,White,Single breed,10.5,50,Medium
149,Demetri,Male,Yes,Black,Mixed breed/unknown,9.5,95,Large
150,Callie,Female,Yes,Other,Single breed,7.5,47,Medium
151,Legend ,Male,Yes,Dark brown,Mixed breed/unknown,4,85,Large
152,Bo,Male,Yes,Yellow/blond,Single breed,13,70,Large
153,Charlie,Female,Yes,Yellow/blond,Mixed breed/unknown,4.5,60,Large
154,Milo ,Male,Yes,No primary color,Single breed,4,45,Medium
155,Bexar,Male,Yes,Reddish,Single breed,5,60,Large
156,Charlie ,Male,Yes,No primary color,Single breed,6,30,Small
157,Sonny ,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",1,4,Toy
158,George,Male,Yes,Reddish,Single breed,2,60,Large
159,Maisy,Female,Yes,Yellow/blond,"Designer/deliberate mix (e.g., labradoodles)",2,70,Large
160,Jaxson,Male,Yes,Reddish,Single breed,11,65,Large
161,Paxton,Male,No,Yellow/blond,"Designer/deliberate mix (e.g., labradoodles)",12,5.6,Toy
162,Galen,Female,Yes,Black,Single breed,9.5,120,Humongous
163,Cody,Female,Yes,Reddish,Mixed breed/unknown,14.5,50,Medium
164,Ollie,Male,Yes,Black,Mixed breed/unknown,1,40,Medium
165,Ruby,Female,Yes,Yellow/blond,Mixed breed/unknown,2.5,50,Medium
166,Mufasa,Male,Yes,Black,Mixed breed/unknown,8,83,Large
167,Stella,Female,Yes,Dark brown,Mixed breed/unknown,0.25,15,Medium
168,Mojo,Male,Yes,Black,Mixed breed/unknown,13,35,Medium
169,Maya,Female,Yes,Yellow/blond,Mixed breed/unknown,12,45,Medium
170,Shayna,Female,Yes,Black,Single breed,11,65,Large
171,Eli,Male,Yes,Reddish,Single breed,10,60,Large
172,Fenway,Male,Yes,Light brown,Mixed breed/unknown,14.5,12,Small
173,Marvel,Male,Yes,Black,Single breed,8.5,42,Medium
174,Izzy,Female,Yes,White,Mixed breed/unknown,12,55,Medium
175,Kiara,Female,No,Black,Mixed breed/unknown,13,53,Medium
176,Maya,Female,No,Black,Mixed breed/unknown,7,50,Medium
177,Rudy,Male,Yes,White,Single breed,12,11,Small
178,Beemo,Male,No,White,Single breed,1,12.1,Small
179,Diamond,Female,Yes,Other,Single breed,14,55,Medium
180,Legion,Male,No,Black,Single breed,11,60,Medium
181,Lucy,Female,Yes,Other,Mixed breed/unknown,5,60,Large
182,Copper,Female,Yes,Light brown,Mixed breed/unknown,3,40,Medium
183,Honey,Female,Yes,Dark brown,Mixed breed/unknown,8,40,Medium
184,Luci,Female,Yes,Black,Mixed breed/unknown,6,48,Medium
185,Yoda,Male,Yes,Black,Single breed,10,7,Small
186,Pepper,Female,Yes,Light brown,Single breed,12,10,Small
187,,Female,Yes,Reddish,"Designer/deliberate mix (e.g., labradoodles)",13,25,Medium
188,Emma,Female,Yes,Dark brown,Single breed,14,27,Small
189,Dobby,Male,Yes,Black,Mixed breed/unknown,11,60,Medium
190,Simba ,Male,Yes,Light brown,Mixed breed/unknown,5,83,Large
191,Tyson,Male,Yes,Yellow/blond,Mixed breed/unknown,5,65,Medium
192,Remy,Female,Yes,White,Mixed breed/unknown,13,42,Medium
193,Sabrina,Female,Yes,Light brown,Mixed breed/unknown,11,75,Large
194,Wrinks ,Male,Yes,Black,"Designer/deliberate mix (e.g., labradoodles)",13,27,Medium
195,Ila ,Female,Yes,Yellow/blond,Mixed breed/unknown,9,74.8,Large
196,Aero,Male,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",12,37,Medium
197,Boeing ,Male,,Yellow/blond,Single breed,5,75.2,Large
198,Blue,Female,Yes,Other,Single breed,13,52.8,Medium
199,Lula,Female,Yes,Light brown,Mixed breed/unknown,6,36,Medium
200,Izzy,Female,Yes,Light brown,Mixed breed/unknown,3,42,Medium
201,Mozey,Female,Yes,Dark brown,Mixed breed/unknown,2.5,35,Medium
202,Theo,Male,Yes,Dark brown,Mixed breed/unknown,3.5,75,Large
203,Lacy,Female,Yes,Light brown,Single breed,9,6,Toy
204,Q,Male,Yes,Black,Single breed,7,100,Humongous
205,Vesper ,Female,Yes,Black,Mixed breed/unknown,1,50,Large
206,Rocky,Male,Yes,Yellow/blond,Mixed breed/unknown,8,68,Large
207,Dewey,Male,Yes,Dark brown,Single breed,10,13,Small
208,Pumpkin,Female,Yes,Black,Mixed breed/unknown,2,48,Medium
209,Hudson,Male,Yes,White,Mixed breed/unknown,4,88,Large
210,Chloe,Female,Yes,Black,Single breed,14,54,Medium
211,Phoebe ,Female,Yes,Light brown,Mixed breed/unknown,7,63,Large
212,Pippa ,Female,Yes,Black,Mixed breed/unknown,1,53.6,Large
213,Charlie,Male,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",3.5,25,Medium
214,Seamus Finnigan,Male,Yes,Light brown,Mixed breed/unknown,2,50,Medium
215,Penny,Female,Yes,No primary color,Single breed,1,25,Medium
216,Blue Beetle,Male,Yes,No primary color,Single breed,1,25,Medium
217,Jagger,Male,Yes,Dark brown,Single breed,7,80,Large
218,Magnolia,Female,Yes,Yellow/blond,Single breed,3,85,Large
219,Nari,Male,Yes,Reddish,Mixed breed/unknown,11.75,40,Medium
220,Calu,Male,Yes,Black,Mixed breed/unknown,2.6,70,Large
221,Scout,Female,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",6,20,Small
222,Casey ,Female,Yes,Reddish,Mixed breed/unknown,16,19.36,Small
223,Rowan,Female,Yes,White,Single breed,15,40,Medium
224,Sienna,Female,Yes,Dark brown,Single breed,10,72,Large
225,Belly,Female,Yes,Dark brown,Single breed,11,80,Large
226,Friday ,Female,Yes,Black,Mixed breed/unknown,3,48,Medium
227,Umber,Female,Yes,Dark brown,Single breed,1.5,42,Medium
228,Mitzvah,Female,Yes,White,Mixed breed/unknown,14,15,Small
229,Freya,Female,No,Yellow/blond,Single breed,0.5,85,Humongous
230,Chaya,Female,Yes,White,Single breed,10,12.5,Small
231,Molly,Female,Yes,Yellow/blond,Single breed,11,110,Large
232,Maggie,Female,Yes,White,Single breed,13,18,Small
233,Max,Male,Yes,Black,Single breed,11,25,Small
234,Dylan,Male,Yes,Black,Single breed,9,75,Medium
235,Mikey,Male,Yes,No primary color,Mixed breed/unknown,4,50,Medium
236,Miss Abigail’s sunshine,Female,Yes,Light brown,Single breed,12,90,Large
237,Miya,Female,Yes,Black,Mixed breed/unknown,10,40,Medium
238,Lena,Female,Yes,Dark brown,Mixed breed/unknown,4,20,Medium
239,Roxy,Female,Yes,Light brown,Mixed breed/unknown,14,30,Small
240,Bella,Female,Yes,Other,Mixed breed/unknown,2,50,Large
241,Nikita,Female,Yes,Light brown,Mixed breed/unknown,3,50,Large
242,Velvet,Female,Yes,Black,Mixed breed/unknown,16,30,Medium
243,Buster,Male,Yes,Dark brown,Mixed breed/unknown,11,178,Large
244,Bella,Female,Yes,Light brown,Mixed breed/unknown,2,65,Large
245,Akira,Female,Yes,White,Mixed breed/unknown,3,20,Medium
246,Quinn,Female,Yes,Black,Mixed breed/unknown,12,45,Medium
247,Hunter,Male,Yes,No primary color,Mixed breed/unknown,15,42,Medium
248,Nutmeg,Female,Yes,White,Mixed breed/unknown,7,40,Medium
249,Addie Mae,Female,Yes,Black,Mixed breed/unknown,3,50,Medium
250,Leo,Male,Yes,White,Mixed breed/unknown,2.5,18,Small
251,Bessie,Female,Yes,Yellow/blond,Single breed,13,65,Large
252,Sherlock,Female,Yes,Black,Mixed breed/unknown,3,50,Medium
253,Eva,Female,Yes,Reddish,Mixed breed/unknown,14,70,Medium
254,Nalla,Female,Yes,White,Single breed,10,96,Large
255,Lady,Female,Yes,Black,Single breed,1,70,Large
256,Ella,Female,Yes,Black,Mixed breed/unknown,6,64,Large
257,Charlie ,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",2,15.4,Small
258,Nimble,Male,Yes,White,Single breed,10,11,Small
259,,Male,Yes,Light brown,Single breed,2,30,Small
260,Max,Male,Yes,Light brown,Single breed,2,30,Small
261,Nina,Female,Yes,Reddish,Mixed breed/unknown,1,40,Medium
262,Shelley,Female,Yes,Other,"Designer/deliberate mix (e.g., labradoodles)",8,45,Medium
263,Maggie,Female,Yes,White,Mixed breed/unknown,12,22,Medium
264,Bailey,Male,No,Reddish,"Designer/deliberate mix (e.g., labradoodles)",0.42,28,Medium
265,Korra,Female,Yes,White,Mixed breed/unknown,4,50,Medium
266,Zeus,Male,Yes,Black,Mixed breed/unknown,4,75,Large
267,Finnick ,Male,Yes,Dark brown,Mixed breed/unknown,3.5,75,Large
268,Homer,Male,Yes,Black,Mixed breed/unknown,13,35,Medium
269,Oliver,Male,Yes,Black,Mixed breed/unknown,5,52,Large
270,Lily,Female,Yes,Black,Mixed breed/unknown,8,72,Large
271,Emmitt,Male,Yes,Black,"Designer/deliberate mix (e.g., labradoodles)",4,22,Small
272,Jumbo,Male,Yes,White,Mixed breed/unknown,8,5,Small
273,Odin,Male,Yes,Black,Mixed breed/unknown,12.75,113,Humongous
274,Dino,Male,Yes,Yellow/blond,Mixed breed/unknown,1.5,120,Humongous
275,Stella,Female,Yes,Yellow/blond,Single breed,8,75,Large
276,Bonnie,Female,Yes,Black,Mixed breed/unknown,5,60,Large
277,Gracie,Female,Yes,Reddish,Single breed,3,30,Small
278,Clementine,Female,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",2,11,Small
279,Oliver ,Male,Yes,Other,Mixed breed/unknown,11,22,Medium
280,Sandy,Female,Yes,Light brown,Mixed breed/unknown,7,65,Medium
281,Cal,Male,Yes,Dark brown,Mixed breed/unknown,5,49,Medium
282,Kiera,Female,Yes,Yellow/blond,Single breed,10,75,Large
283,Kona,Female,Yes,Black,Mixed breed/unknown,7,45,Large
284,Walter,Male,Yes,White,Mixed breed/unknown,6.5,19,Medium
285,Clyde,Male,Yes,White,Mixed breed/unknown,6.5,18,Medium
286,Izzy,Female,Yes,Black,Single breed,4,63.8,Large
287,Zoey,Female,Yes,White,Single breed,17,,Toy
288,Bindi,Female,Yes,Yellow/blond,"Designer/deliberate mix (e.g., labradoodles)",3,30,Large
289,Loki,Male,Yes,Other,Mixed breed/unknown,5,39.6,Medium
290,Brownie,Male,Yes,Black,Mixed breed/unknown,6,77,Large
291,Lea,Female,Yes,Dark brown,Mixed breed/unknown,3,77,Large
292,Penny,Female,Yes,Other,Mixed breed/unknown,3,19.8,Small
293,Zoey,Female,Yes,Black,Mixed breed/unknown,8,25,Small
294,Darla,Female,Yes,Yellow/blond,Single breed,14,57,Medium
295,Frida,Female,No,Light brown,Mixed breed/unknown,1.5,66,Large
296,Boone,Male,Yes,Black,Mixed breed/unknown,5,55,Medium
297,Artie,Male,Yes,White,Mixed breed/unknown,2,60,Medium
298,Pele,Male,Yes,Black,Mixed breed/unknown,12,25,Medium
299,Lua,Female,Yes,Yellow/blond,Mixed breed/unknown,11,25,Medium
300,Rio,Male,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",3,94,Large
301,Posey,Female,Yes,White,Mixed breed/unknown,2,18,Small
302,,Female,Yes,Reddish,Mixed breed/unknown,6,30,Medium
303,,Female,Yes,Yellow/blond,Mixed breed/unknown,11,60,Large
304,,Male,Yes,No primary color,Single breed,7,6,Toy
305,Geezer,Male,Yes,Reddish,Mixed breed/unknown,15,16,Small
306,Minnie,Female,Yes,Black,Mixed breed/unknown,14,17,Small
307,Swiffer,Male,Yes,Yellow/blond,Mixed breed/unknown,18,16,Small
308,Fiona,Female,Yes,Yellow/blond,Mixed breed/unknown,9,27,Medium
309,Batman,Male,Yes,Dark brown,Single breed,12,20,Small
310,Olive,Female,Yes,Black,Mixed breed/unknown,3,37,Medium
311,Ladybug,Female,Yes,Black,Mixed breed/unknown,3,17,Small
312,Mijo,Male,Yes,Dark brown,Single breed,4,20,Small
313,Zeus,Male,Yes,White,Single breed,3,101,Large
314,Khaleesi ,Female,Yes,Black,"Designer/deliberate mix (e.g., labradoodles)",1.5,6.4,Toy
315,,Female,Yes,Black,Single breed,2.5,45,Large
316,Cadie ,Female,Yes,Light brown,Mixed breed/unknown,2.5,48,Medium
317,Lotus ,Female,No,Light brown,Single breed,5,44,Medium
318,Nut,Female,Yes,Light brown,Single breed,14,77,Large
319,Loba,Female,Yes,Black,Mixed breed/unknown,7,50,Large
320,Rigby,Female,Yes,Black,Mixed breed/unknown,13.92,35,Medium
321,Sugar,Female,Yes,Black,Single breed,6.5,75,Large
322,Jabbers,Male,Yes,Light brown,Mixed breed/unknown,15,72,Large
323,George,Male,Yes,White,Mixed breed/unknown,3.5,70,Large
324,Penny,Female,Yes,Black,Mixed breed/unknown,7,50,Medium
325,Hulk smash ,Male,Yes,White,Single breed,3,42,Medium
326,Maverick ,Male,Yes,Reddish,Mixed breed/unknown,9,65,Large
327,Holden,Male,Yes,Light brown,Mixed breed/unknown,2,45,Large
328,Fred,Male,Yes,Black,Mixed breed/unknown,12,66,Large
329,Norm,Male,Yes,Black,Single breed,10,99,Large
330,Rizzo,Female,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",8,56,Medium
331,Gobi,Male,Yes,White,Mixed breed/unknown,4,14,Small
332,Kirby,Female,,Yellow/blond,Single breed,12,70,Large
333,Lucy,Female,Yes,Light brown,Mixed breed/unknown,13,50,Medium
334,Sasha,Female,Yes,No primary color,Single breed,8,100,Humongous
335,Mandy,Female,Yes,Black,Single breed,14,20,Small
336,Mello,Male,Yes,White,Single breed,7,97,Large
337,Bella,Female,Yes,Light brown,Mixed breed/unknown,12,28.6,Medium
338,Bugzee,Male,Yes,No primary color,"Designer/deliberate mix (e.g., labradoodles)",17,8.6,Small
339,Zoey,Female,Yes,Yellow/blond,Mixed breed/unknown,3,39,Medium
340,Sushi,Female,Yes,Light brown,Mixed breed/unknown,13,40,Medium
341,Pickles,Female,Yes,Dark brown,Mixed breed/unknown,1,60,Medium
342,Rusty,Male,Yes,No primary color,Mixed breed/unknown,2,17.6,Small
343,Zima ,Female,Yes,Other,Single breed,2,95,Humongous
344,Skit,Female,Yes,White,Single breed,13,10,Small
345,Harley,Female,Yes,White,Mixed breed/unknown,0.42,33,Large
346,Gio,Male,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",13,24,Small
347,Sully,Male,Yes,White,Mixed breed/unknown,8,35,Small
348,Bailey,Male,Yes,Yellow/blond,Single breed,5,65,Large
349,Nellie ,Female,Yes,Yellow/blond,Mixed breed/unknown,10,25,Medium
350,Coco,Female,Yes,Yellow/blond,Mixed breed/unknown,5,20,Medium
351,Stella,Female,Yes,Reddish,Single breed,6,53,Large
352,Lizzi,Female,Yes,Light brown,Single breed,3,22,Small
353,Clint Eastdog ,Male,Yes,Reddish,Single breed,3,75,Large
354,Hershey,Female,Yes,Dark brown,Single breed,6,50,Large
355,Perrla,Female,Yes,Yellow/blond,Mixed breed/unknown,12,55,Large
356,Cabra,Female,Yes,White,Single breed,6,60,Medium
357,Hazel,Female,Yes,Other,Single breed,8,65,Medium
358,Raoule Wallenbark,Female,Yes,Black,"Designer/deliberate mix (e.g., labradoodles)",13,45,Large
359,Katie,Female,Yes,White,Mixed breed/unknown,6,10,Small
360,Lucy,Female,Yes,Black,Single breed,2,38,Medium
361,Abbey,Female,Yes,Black,Single breed,13,20,Small
362,Lacey,Female,Yes,Black,Mixed breed/unknown,6,35,Medium
363,Fred,Male,Yes,No primary color,Single breed,6,32,Medium
364,Percy ,Male,Yes,White,Mixed breed/unknown,5,12,Small
365,Moose,Male,Yes,Dark brown,Single breed,3,88,Large
366,,Female,Yes,No primary color,Single breed,0.66,18,Small
367,Dozer,Male,Yes,White,Single breed,7,125,Humongous
368,Emma,Female,Yes,Dark brown,Single breed,9,72,Large
369,Elwood,Male,Yes,Black,Single breed,5,28,Medium
370,PJ,Male,Yes,Reddish,Single breed,10,8,Small
371,Maggie,Female,Yes,White,Mixed breed/unknown,2,35,Medium
372,Lucy,Female,Yes,Black,Single breed,15,30,Medium
373,Daisy,Female,Yes,Light brown,Single breed,12,30,Medium
374,Princess,Female,Yes,Black,Mixed breed/unknown,11,16,Small
375,,Male,Yes,Light brown,Single breed,5,25,Medium
376,Dexter,Male,Yes,Black,Single breed,13,26,Small
377,Belle,Female,Yes,Yellow/blond,Single breed,15.5,78,Large
378,Tiki,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",14,40,Medium
379,Tuck,Male,Yes,Other,Single breed,4,25,Medium
380,Lilly,Female,Yes,Dark brown,Mixed breed/unknown,5,43,Large
381,Tuffy,Male,Yes,Black,Single breed,12,75,Large
382,Princess Leia,Female,Yes,Light brown,Mixed breed/unknown,3,60,Large
383,Lily,Female,Yes,No primary color,Single breed,3,19,Small
384,Joey,Male,Yes,Dark brown,Mixed breed/unknown,7,55,Medium
385,Olive,Female,Yes,No primary color,Single breed,1,17,Small
386,Eleanor,Female,Yes,No primary color,Single breed,10,20,Small
387,Dixie,Female,Yes,Black,Single breed,12,16,Small
388,Sullivan,Male,Yes,Reddish,Single breed,8,23,Small
389,Ash,Female,Yes,Other,Mixed breed/unknown,10,45,Medium
390,Gracie,Female,Yes,Black,Mixed breed/unknown,8,55,Medium
391,Winston,Male,Yes,Other,Single breed,8,42,Medium
