"","x","y","pop","msa","logincome.mean","logincome.sd","schools","students","enrollment","income","class.size","mu","score"
"11289",34.5945831987575,31.662083400685,2518.2412109375,"minor",10.6478940250232,1.08770369867611,1,27,27,71443.3789096037,27,2.52651305698341,2.52651305698341
"10406",34.6362498652575,31.770416733585,6998.412109375,"minor",10.7577555128122,1.09330058451015,1,87,87,11968.4013116185,29,2.20783915666755,2.20783915666755
"8821.1",34.8279165311575,32.095416732285,14103.2451171875,"telaviv",10.9278152192276,1.10190820444595,2,208,104,88323.9946683807,34.6666666666667,2.83650867475431,2.83650867475431
"15151.1",34.8029165312575,31.253750068985,4246.95751953125,"minor",9.8477215812249,1.04603598733637,2,63,31.5,7701.47018016756,31.5,1.90732729470182,1.90732729470182
"8978",34.9279165307575,32.053750065785,2502.88232421875,"telaviv",10.6579819353406,1.08821882681648,3,39,13,107230.356772377,13,2.7371714599185,2.7371714599185
"10404.1",34.6195831986575,31.770416733585,3946.74951171875,"minor",10.7912236029525,1.09499992911986,2,44,22,22768.5215192874,22,2.35859928721229,2.35859928721229
"8801",34.8779165309575,32.103750065585,5702.93115234375,"telaviv",10.8286941124288,1.09689937310325,1,85,85,59957.7018335013,28.3333333333333,2.62076756660407,2.62076756660407
"9545",34.8029165312575,31.912083399685,4939.017578125,"minor",10.6742587124885,1.08904946895541,1,62,62,19446.5167388598,31,2.2439184040771,2.2439184040771
"2538",35.1029165300575,32.970416728785,700.19873046875,"minor",10.6321466258135,1.08689908689371,1,11,11,39945.8218912053,11,2.39603804419782,2.39603804419782
"14141",34.9195831974575,31.320416735385,959.018920898438,"minor",9.81004016425411,1.04403278813211,1,13,13,38639.2671340211,13,2.39020424644432,2.39020424644432
"9153.1",34.7612498647575,32.003750065985,10581.240234375,"telaviv",10.913367896425,1.1011795643473,2,156,78,109912.24944125,39,2.72033074417264,2.72033074417264
"10173",35.1529165298575,31.803750066785,12071.5478515625,"jerusalem",10.0422327911858,1.05631607176313,4,187,46.75,37140.0057005269,23.375,2.60529466957371,2.60529466957371
"10062",34.7612498647575,31.812083400085,1204.65466308594,"minor",10.5935869314258,1.08492636367768,1,12,12,4101.01039554862,12,1.66558429217394,1.66558429217394
"3161.1",35.2862498626575,32.920416728985,2336.3935546875,"minor",10.3277009878892,1.07122468790991,2,50,25,148663.646875813,25,2.70982707099664,2.70982707099664
"15684",34.8029165312575,31.220416735785,3347.41333007812,"minor",9.81487471698732,1.04429001490047,3,34,11.3333333333333,19580.6441630152,11.3333333333333,2.35481650758732,2.35481650758732
"9570.2",35.0112498637575,31.912083399685,10529.7177734375,"minor",10.3348977801486,1.07159786094041,4,182,45.5,7289.14631821517,22.75,2.2676631200506,2.2676631200506
"9054",34.7529165314575,32.028750065885,11615.58203125,"telaviv",10.9780089483165,1.10443595198416,4,144,36,54651.5610219965,36,2.63800714854461,2.63800714854461
"2071.1",35.2945831959575,33.012083395285,945.363342285156,"minor",10.3344513101485,1.07157471405137,2,28,14,67983.2335438871,14,2.53032529116253,2.53032529116253
"8768",34.8279165311575,32.112083398885,8437.6630859375,"telaviv",10.9397435576915,1.10250943849281,2,127,63.5,17918.0999284975,31.75,2.33478948057145,2.33478948057145
"10179",35.2029165296575,31.803750066785,6963.353515625,"jerusalem",9.98924268268241,1.05352544042912,1,124,124,76697.2239924867,31,2.4881172686754,2.4881172686754
"2746",35.1862498630575,32.953750062185,1541.59509277344,"minor",10.4858386458323,1.07939482251411,1,29,29,10756.6784186907,29,1.922303789411,1.922303789411
"13882",34.8612498643575,31.337083401985,468.967254638672,"minor",9.87775694262849,1.04762996767988,1,5,5,52428.5608392718,5,2.44806018421681,2.44806018421681
"8444",34.9445831973575,32.237083398385,4819.92529296875,"minor",10.7326688531231,1.09202507363985,1,75,75,954194.268990516,37.5,3.04603008102856,3.04603008102856
"8645",34.8779165309575,32.153750065385,3059.95288085938,"telaviv",10.8436830527579,1.09765826764465,2,52,26,235186.405639534,26,2.84025103534976,2.84025103534976
"8971",34.8695831976575,32.053750065785,5953.73486328125,"telaviv",10.7700248167227,1.09392386576046,1,90,90,10958.5445550223,30,2.12236647461242,2.12236647461242
"8822",34.8362498644575,32.095416732285,15237.2529296875,"telaviv",10.909297718331,1.10097420084472,2,218,109,15743.3958652838,36.3333333333333,2.35443317780936,2.35443317780936
"8285",34.8445831977575,32.295416731485,3510.39501953125,"minor",10.9613729864017,1.10359880927011,1,56,56,77855.620312617,28,2.58762509849415,2.58762509849415
"9034",34.8612498643575,32.037083399185,6009.33251953125,"telaviv",10.7600718316622,1.09341828082914,1,77,77,69026.5249508495,38.5,2.50215390516364,2.50215390516364
"10183.2",34.6362498652575,31.795416733485,7304.419921875,"minor",10.8026945450426,1.09558176047871,3,87,29,156331.554014069,29,2.90033025749656,2.90033025749656
"8371",34.8445831977575,32.262083398285,1369.77917480469,"minor",10.9505186327527,1.10305226192057,1,21,21,6635.94636418591,21,1.81799613759888,1.81799613759888
"3259",35.2529165294575,32.912083395685,1602.18103027344,"minor",10.3740383372259,1.07362513306947,1,35,35,6494.19759427864,35,1.68333695421676,1.68333695421676
"10327.1",35.2195831962575,31.787083400185,16248.5185546875,"jerusalem",9.95730091885409,1.0518397067812,4,252,63,34066.9587651336,31.5,2.50909628077619,2.50909628077619
"9027",34.8029165312575,32.037083399185,3716.15258789062,"telaviv",10.8810827919742,1.09954954372609,1,50,50,22509.6901627859,25,2.3085307324335,2.3085307324335
"10540",35.1279165299575,31.762083400285,2097.203125,"minor",10.0291023812408,1.05562526922519,1,23,23,45855.0181617864,23,2.4322173015864,2.4322173015864
"8060",34.9195831974575,32.387083397785,1110.65869140625,"minor",10.8262113045223,1.09677361710115,1,15,15,18667.6545353232,15,2.18533599905223,2.18533599905223
"7372.1",34.9195831974575,32.520416730585,2197.40209960938,"minor",10.8664666923987,1.0988108063012,2,35,17.5,108553.409181291,17.5,2.69533743635309,2.69533743635309
"9668",34.7612498647575,31.887083399785,2137.68530273438,"minor",10.7129445249267,1.09102115902319,1,23,23,32147.7079012991,23,2.34037113523881,2.34037113523881
"3643",35.0862498634575,32.878750062485,1344.15600585938,"haifa",10.638617459965,1.08722978558481,1,27,27,43110.887301104,27,2.43799822556608,2.43799822556608
"4184",35.0529165302575,32.828750062685,3391.53662109375,"haifa",10.687060235571,1.0897023159036,1,56,56,96585.78654662,28,2.73316974559887,2.73316974559887
"3352",35.1779165297575,32.903750062385,1059.90063476562,"minor",10.4877592319528,1.07949366896156,1,15,15,8981.22015891967,15,1.94949353294682,1.94949353294682
"8519",34.9195831974575,32.203750065185,1819.77575683594,"minor",10.7726713244885,1.09405826193065,1,30,30,33782.0535033333,30,2.26551854368923,2.26551854368923
"8446",34.9612498639575,32.237083398385,5994.2861328125,"minor",10.7005821614526,1.09039147717448,1,94,94,13026.1101443848,31.3333333333333,2.15871971382913,2.15871971382913
"9101.1",34.8695831976575,32.020416732585,6542.42626953125,"telaviv",10.7175166628198,1.09125395062642,2,88,44,476548.229524849,22,3.21244905031297,3.21244905031297
"3364",35.2779165293575,32.903750062385,3990.23022460938,"minor",10.3361450126217,1.07166252008641,1,83,83,12379.4894837613,27.6666666666667,2.10803832752398,2.10803832752398
"5625",35.3279165291575,32.703750063185,4406.12060546875,"minor",10.2293914052382,1.0661139925104,1,74,74,32473.5921515429,37,2.27795900949073,2.27795900949073
"10331.1",34.6362498652575,31.778750066885,8671.916015625,"minor",10.7726263708023,1.09405597920979,5,89,17.8,54383.2575043638,17.8,2.86866324959807,2.86866324959807
"9708",34.7279165315575,31.878750066485,3699.7890625,"minor",10.7642172896138,1.09362888737013,2,46,23,52118.5585487097,23,2.55730862343444,2.55730862343444
"9609",34.9862498638575,31.903750066385,4431.86376953125,"minor",10.3607072333807,1.07293508312379,1,72,72,67143.8561699614,36,2.4816643165064,2.4816643165064
"11777",34.7862498646575,31.595416734285,2102.64306640625,"minor",10.2511972203265,1.0672496958864,1,35,35,75911.4663121819,35,2.42918486018277,2.42918486018277
"9137.1",34.9029165308575,32.012083399285,1450.27331542969,"telaviv",10.6424429090444,1.08742524182607,1,27,27,101802.570630703,27,2.5554398592192,2.5554398592192
"1776.1",35.2529165294575,33.037083395185,287.885986328125,"minor",10.4005873888025,1.0749980562671,2,6,3,294856.553170789,3,2.83205344326859,2.83205344326859
"9159",34.8112498645575,32.003750065985,6644.7880859375,"telaviv",10.806709608989,1.09578534034267,1,107,107,281182.931767559,35.6666666666667,2.89096054805798,2.89096054805798
"9218",34.7529165314575,31.987083399385,3565.73901367188,"telaviv",10.9017515971815,1.10059335497729,2,43,21.5,83018.3832843298,21.5,2.68088969513853,2.68088969513853
"5130",35.0029165304575,32.745416729685,40.7203636169434,"haifa",10.7607848391073,1.09345450746742,1,1,1,43831.3172220628,1,2.51932677506346,2.51932677506346
"6669.1",35.0029165304575,32.595416730285,1165.45910644531,"minor",10.7188245232235,1.091320531549,3,15,5,16188.0309178205,5,2.13612992963222,2.13612992963222
"10398.1",35.1945831963575,31.778750066885,16765.650390625,"jerusalem",9.97502054955646,1.05277519756945,3,250,83.3333333333333,98316.0603394735,27.7777777777778,2.87121199199952,2.87121199199952
"4619",35.4945831951575,32.795416729485,166.088073730469,"minor",10.0465977840709,1.05654561788621,1,7,7,28464.1842709088,7,2.34551575243433,2.34551575243433
"4847",34.9862498638575,32.770416729585,2196.62451171875,"haifa",10.8016208534893,1.09552731359476,1,33,33,12826.3052603144,33,2.06653398280735,2.06653398280735
"8942",34.8945831975575,32.062083399085,1659.59387207031,"telaviv",10.7337307543935,1.09207909534437,1,23,23,30019.495979189,23,2.29436275105832,2.29436275105832
"10044",35.1195831966575,31.820416733385,3094.06958007812,"minor",10.0958415517544,1.0591318012491,2,52,26,17226.050391678,26,2.18474465883277,2.18474465883277
"7778.1",35.0029165304575,32.453750064185,632.407043457031,"minor",10.6803499244514,1.08936015493558,1,14,14,12351.5961387548,14,2.04776670437172,2.04776670437172
"9452",34.9945831971575,31.937083399585,1608.30859375,"minor",10.3897374214308,1.0744371871114,1,24,24,64448.8557385603,24,2.48163456191621,2.48163456191621
"7644",34.9779165305575,32.478750064085,2215.52392578125,"minor",10.7349899605822,1.0921431510049,1,40,40,29937.4086975394,40,2.13348685184545,2.13348685184545
"10379.1",35.0362498636575,31.778750066885,420.008239746094,"minor",10.1504511479484,1.06199242244359,2,8,4,25759.9318289997,4,2.24842289950604,2.24842289950604
"5139",35.0779165301575,32.745416729685,2922.96630859375,"haifa",10.6192997056023,1.08624223334916,2,50,25,23664.7556112185,25,2.37962305225372,2.37962305225372
"8274",34.9279165307575,32.303750064785,976.852294921875,"minor",10.7846606063478,1.09466690044394,1,18,18,36053.2657921304,18,2.34807932499667,2.34807932499667
"9185.1",34.7529165314575,31.995416732685,4136.70556640625,"telaviv",10.9167923462616,1.1013523175453,4,60,15,11796.8787079114,15,2.23210316804763,2.23210316804763
"8685",34.7945831979575,32.137083398785,3179.29541015625,"telaviv",11.0253688315379,1.10681569436017,1,42,42,31573.0622158614,21,2.41628260502871,2.41628260502871
"9413",34.9695831972575,31.945416732885,2726.19995117188,"minor",10.4383109792465,1.07694583476951,1,44,44,18467.7195611942,22,2.22706610906918,2.22706610906918
"8849",34.8445831977575,32.087083398985,10076.3330078125,"telaviv",10.8768280559089,1.09933454901433,1,143,143,13681.1029580107,35.75,2.21933338273782,2.21933338273782
"8287",34.8612498643575,32.295416731485,3305.88671875,"minor",10.9237277028313,1.1017021024473,2,56,28,54915.203069041,28,2.4909020827192,2.4909020827192
"16635",34.9695831972575,31.162083402685,126.032318115234,"minor",9.63406662597819,1.03462642887707,1,3,3,34387.354067836,3,2.36495695287708,2.36495695287708
"8995",34.8029165312575,32.045416732485,7188.7431640625,"telaviv",10.8956058706052,1.10028308835121,3,110,36.6666666666667,60180.5906851596,36.6666666666667,2.53608177342234,2.53608177342234
"15692",34.8695831976575,31.220416735785,652.900939941406,"minor",9.7593434217795,1.04133159527061,1,9,9,7686.01365455435,9,1.89482191002721,1.89482191002721
"2749",35.2112498629575,32.953750062185,2644.65600585938,"minor",10.4461804255457,1.07735171320675,1,40,40,14358.4114990415,40,1.93437223287221,1.93437223287221
"8715",34.8279165311575,32.128750065485,5335.99609375,"telaviv",10.9451212397828,1.10278038711164,2,82,41,131999.775687208,20.5,2.89676505589167,2.89676505589167
"9471",34.8445831977575,31.928750066285,486.320373535156,"minor",10.6236713689843,1.08646579784508,1,5,5,29138.8468797321,5,2.29191678876194,2.29191678876194
"3034",35.0779165301575,32.928750062285,4168.74560546875,"haifa",10.6670293472285,1.08868061571123,2,89,44.5,14654.0552213058,22.25,2.33655931547521,2.33655931547521
"15507",34.4279165327575,31.228750069085,377.647430419922,"minor",10.2187113355382,1.06555730517666,1,7,7,9784.59180619355,7,1.98122343373934,1.98122343373934
"9993",34.6529165318575,31.820416733385,6436.8447265625,"minor",10.8137798751438,1.09614373931442,1,83,83,13092.8855125038,27.6666666666667,2.23591094023567,2.23591094023567
"10164",35.0779165301575,31.803750066785,7562.75830078125,"minor",10.1272316478978,1.06077705521826,4,120,30,58483.5575964165,30,2.659698827532,2.659698827532
"5419",35.1279165299575,32.720416729785,1871.6767578125,"haifa",10.5268039593449,1.08150121792426,1,31,31,293601.113188708,31,2.87006804929205,2.87006804929205
"5232",35.0862498634575,32.737083396385,1169.35656738281,"haifa",10.6023642932117,1.0853757308064,1,21,21,18661.260450815,21,2.24979944898803,2.24979944898803
"8574.1",34.8695831976575,32.178750065285,6055.84033203125,"telaviv",10.8690207641586,1.09893993184132,2,88,44,58442.5666162176,22,2.71923619158362,2.71923619158362
"8078",34.8695831976575,32.378750064485,2453.37036132812,"minor",10.9317137569039,1.102104741791,1,31,31,96804.9294875057,31,2.55061494583235,2.55061494583235
"9528.3",35.0029165304575,31.920416732985,7000.5234375,"minor",10.3569495761298,1.07274049756944,3,118,39.3333333333333,10610.5160195074,39.3333333333333,1.98745027825554,1.98745027825554
"8208",34.8862498642575,32.328750064685,2348.65600585938,"minor",10.8792827284437,1.09945859042044,2,24,12,61301.9282646732,12,2.59515814079645,2.59515814079645
"4272",34.9862498638575,32.820416729385,4746.916015625,"haifa",10.8163235047296,1.09627264982199,2,100,50,140957.499468528,25,2.92683532773719,2.92683532773719
"3647",35.1195831966575,32.878750062485,165.441345214844,"haifa",10.5794325297689,1.08420132046943,1,4,4,107697.706935154,4,2.75361381972475,2.75361381972475
"8964.1",34.8112498645575,32.053750065785,9464.7265625,"telaviv",10.8919293695765,1.10009743859232,4,132,33,18322.6298090594,33,2.34808585354049,2.34808585354049
"8962.2",34.7945831979575,32.053750065785,9308.9384765625,"telaviv",10.9287550922491,1.10195558955931,3,141,47,40853.7667849685,23.5,2.73934797952394,2.73934797952394
"4370",35.0195831970575,32.812083396085,3007.51147460938,"haifa",10.7466548960532,1.09273636629707,1,52,52,19854.1742666561,26,2.32229919466012,2.32229919466012
"465",35.6195831946575,33.220416727785,479.850006103516,"minor",9.97868441184982,1.0529685239492,1,17,17,28145.5875456168,17,2.28093000606614,2.28093000606614
"10622",35.1779165297575,31.753750066985,13840.705078125,"jerusalem",9.96915894102198,1.05246583164501,2,211,105.5,37547.6172661947,35.1666666666667,2.40471116040571,2.40471116040571
"5802",35.3029165292575,32.687083396585,2604.23706054688,"minor",10.2591101064678,1.06766152077373,2,41,20.5,5952.02370594503,20.5,1.8538254621831,1.8538254621831
"8960",34.7779165313575,32.053750065785,9231.30078125,"telaviv",10.9665307866341,1.1038584242271,1,141,141,13151.5072912989,35.25,2.19537957139818,2.19537957139818
"9059",34.7945831979575,32.028750065885,11366.4287109375,"telaviv",10.8846325649877,1.09972888401277,4,163,40.75,24560.7748746134,20.375,2.71968298146225,2.71968298146225
"7652",35.0445831969575,32.478750064085,950.377746582031,"minor",10.6108045361125,1.08580766335032,1,23,23,47765.3160072276,23,2.38397896415969,2.38397896415969
"9841.1",34.8279165311575,31.853750066585,2298.59985351562,"minor",10.5414995667802,1.08225585220975,2,35,17.5,41910.215299185,17.5,2.46692710149105,2.46692710149105
"8816.1",34.7862498646575,32.095416732285,7561.67529296875,"telaviv",11.0240548335841,1.10674973752396,2,97,48.5,49968.3886049517,24.25,2.71368119304722,2.71368119304722
"10261",34.6695831984575,31.787083400185,5058.1396484375,"minor",10.7216319065273,1.09146343688581,1,68,68,71112.173444959,34,2.5500789270788,2.5500789270788
"8847",34.8279165311575,32.087083398985,15465.7119140625,"telaviv",10.9132677605294,1.10117451238461,4,213,53.25,109769.230176063,26.625,3.09604131348993,3.09604131348993
"14523",34.9279165307575,31.295416735485,2024.28576660156,"minor",9.78008477241115,1.042437569269,1,35,35,5625.60330154906,35,1.64604769481884,1.64604769481884
"15414",34.7862498646575,31.237083402385,3676.14135742188,"minor",9.84590761315972,1.04593964204228,3,41,13.6666666666667,12947.4521169726,13.6666666666667,2.24117648167652,2.24117648167652
"8595",34.8529165310575,32.170416731985,7345.69189453125,"telaviv",10.9026427323004,1.10063833661807,1,98,98,32126.3148097056,32.6666666666667,2.44928811847317,2.44928811847317
"15416",34.8029165312575,31.237083402385,2708.38916015625,"minor",9.83121060969476,1.04515871254586,1,33,33,24157.7444613244,33,2.18039615024728,2.18039615024728
"8618.1",34.8529165310575,32.162083398685,6443.86767578125,"telaviv",10.9000284748718,1.10050637207867,3,103,34.3333333333333,114001.245823333,34.3333333333333,2.70716972811245,2.70716972811245
"10330.1",34.6279165319575,31.778750066885,7210.390625,"minor",10.7894399007752,1.09490942805407,2,101,50.5,8032.90798710433,25.25,2.14111065941264,2.14111065941264
"5884",35.2779165293575,32.678750063285,2748.314453125,"minor",10.2912611061545,1.06933318298806,1,44,44,94778.786921591,22,2.65967277641588,2.65967277641588
"10324.1",35.1945831963575,31.787083400185,17163.513671875,"jerusalem",9.98260942817448,1.05317559094043,3,289,96.3333333333333,2888.27108954331,32.1111111111111,1.64064973546723,1.64064973546723
"11147",34.9862498638575,31.687083400585,651.547546386719,"minor",10.1108245892221,1.05991742808485,2,10,5,9619.29616412093,5,1.95238079331549,1.95238079331549
"4199",35.1779165297575,32.828750062685,1888.81140136719,"minor",10.4705800574391,1.07860918972531,1,38,38,63113.9507460815,38,2.33990909755929,2.33990909755929
"9613",35.0195831970575,31.903750066385,6381.10205078125,"minor",10.3132207782419,1.07047345590848,1,108,108,44660.3679668534,36,2.44683497052754,2.44683497052754
"10327.2",35.2195831962575,31.787083400185,16248.5185546875,"jerusalem",9.95730091885409,1.0518397067812,4,252,63,9201.60640078426,31.5,2.11389829491757,2.11389829491757
"10331.3",34.6362498652575,31.778750066885,8671.916015625,"minor",10.7726263708023,1.09405597920979,5,89,17.8,110640.135606433,17.8,3.0408879115776,3.0408879115776
"9630",34.8029165312575,31.895416733085,5292.51318359375,"minor",10.648159865528,1.08771727666134,4,75,18.75,184278.404965559,18.75,2.98839604786411,2.98839604786411
"8563",34.9529165306575,32.187083398585,1898.61364746094,"minor",10.7028490579508,1.09050696966293,1,30,30,119144.843801981,30,2.58316124128368,2.58316124128368
"9223",34.7945831979575,31.987083399385,4189.234375,"telaviv",10.8130248917694,1.09610547402912,2,64,32,96046.6786024821,32,2.6164774325657,2.6164774325657
"8582.2",34.9362498640575,32.178750065285,6158.48779296875,"minor",10.7326688531231,1.09202507363985,3,95,31.6666666666667,149095.515997098,31.6666666666667,2.8028374354996,2.8028374354996
"8814",34.7695831980575,32.095416732285,1945.13256835938,"telaviv",11.064345827186,1.10877038135776,1,18,18,15590.5800172871,18,2.16157690335216,2.16157690335216
"8416",34.8779165309575,32.245416731685,867.306762695312,"minor",10.8715793914224,1.09906927248177,1,12,12,75438.4817374657,12,2.55914870730423,2.55914870730423
