2017 Event ,2017 Event Venue,Zip,Zone,Date,Start time,End time,Audience,Price Structure,Marked as sold out?,Estimated Attendance,Adv Tickets sold,Actual Attendance
"Creating a New Normal: Race, Identity, Health & Activism",Emory University,30322,NE ITP,Mon. 03. 20,1:00 PM,2:15 PM,"Adults, Teens (13-18)",Free,,30,--,50
It's About Time,Oxford College,30054,NE OTP,Tue. 03. 21,7:00 PM,9:00 PM,"Adults, Teens (13-18)",Free with adv registration,,40,Partner handled sales,40
You're The Expert,7 Stages Theatre,30307,NE ITP,Tue. 03. 21,7:30 PM,9:30 PM,"Adults, Teens (13-18)",$15,,200,Partner handled sales,191
Saving Georgia’s Wild Orchids,Atlanta Botanical Garden,30309,NE ITP,Wed. 03. 22,10:30 AM,11:30 AM,"Children (5-12 yrs), Teens (13-18)",Free with adv registration,,80,Partner handled sales,35
Saving Georgia's Wild Orchids,Atlanta Botanical Garden,30309,NE ITP,Wed. 03. 22,7:00 PM,8:00 PM,"Adults, Teens (13-18)",Free,,80,--,94
"LEGOs, littleBits & Local Brew",MODA,30309,NE ITP,Wed. 03. 22,8:00 PM,10:00 PM,Adults,"$25 for MODA members, $30 for non-members",,80,Partner handled sales,57
The Mysterious World of Carnivorous Plants,DeKalb Extension Auditorium,30032,NE ITP,Thu. 03. 23,5:30 PM,6:30 PM,"Families (kids & adults together), Children (5-12 yrs)",Free with adv registration,SOLD OUT,20,20,25
Breaking Down the Campground,Camp Timber Ridge,30126,NW OTP,Thu. 03. 23,5:30 PM,7:30 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",$10,,40,Partner handled sales,49
Connected Cycling Showcase: Using Technology to Hack a Bike,Alpharetta Technology Commission Innovation Center,30009,NW OTP,Thu. 03. 23,6:00 PM,8:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free with adv registration,,30,Partner handled sales,45
Spy in the Wild,Ga Public Broadcasting,30318,NW ITP,Thu. 03. 23,7:00 PM,9:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free with adv registration,,60,Partner handled sales,36
The Art and Science of Cooking with Insects,Manuel's Tavern,30307,NE ITP,Thu. 03. 23,7:30 PM,9:00 PM,"Adults, Teens (13-18)",Free,,80,--,120
Robot Racing & PancakeBots,21st Cent STEM Academy,30033,NE ITP,Fri. 03. 24,2:00 PM,4:00 PM,Children (5-12 yrs),Free with adv registration,SOLD OUT,15,Partner handled sales,11
Robot Racing & PancakeBots,21st Cent STEM Academy,30033,NE ITP,Fri. 03. 24,6:30 PM,8:30 PM,Children (5-12 yrs),Free with adv registration,SOLD OUT,15,Partner handled sales,16
Introducing the Next...,Ferst Center for the Arts,30332,NW ITP,Fri. 03. 24,7:00 PM,10:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs)",$28 ($22 with discount code),,500,Partner handled sales,275
Critter Crawl,Oxford College,30054,NE OTP,Sun. 03. 19,1:00 PM,3:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs), Preschool (0-4 yrs)",Free,,30,--,188
Heart & Your Health,Stonecrest Library,30038,SE OTP,Thu. 03. 23,12:00 PM,1:00 PM,"Families (kids & adults together), Children (5-12 yrs)",Free with adv registration,,20,Partner handled sales,63
Bio-Bus: Chemistry Edition!,Mechanicsville Library,30312,SW ITP,Thu. 03. 16,10:35 AM,11:25 AM,"Families (kids & adults together), Children (5-12 yrs)",Free,,15,--,35
