2017 Event ,2017 Event Venue,Zip,Zone,Date,Start time,End time,Audience,Price Structure,Marked as sold out?,Estimated Attendance,Adv Tickets sold,Actual Attendance
Compost Critters,Love is Love Farms,30032,NE ITP,Sun. 03. 19,1:00 PM,5:00 PM,"Families (kids & adults together), Children (5-12 yrs)",$5 ($3 for Georgia Organics members),,50,Partner handled sales,200
STEAM Family Fun Day,High Museum of Art,30309,NE ITP,Sun. 03. 19,1:00 PM,4:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs), Preschool (0-4 yrs)",Free with adv registration,,400,Partner handled sales,449
Roadside Geology,First Presbyterian Church of Atlanta Parking Lot,30309,NE ITP,Sun. 03. 19,2:00 PM,4:00 PM,"Adults, Teens (13-18 yrs)",Free with adv registration,SOLD OUT,30,30,13
Circus Science,Buck's Sport Barn,30309,NE ITP,Sun. 03. 19,2:30 PM,4:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)","$12 presale, $15 at the door",,40,Partner handled sales,60
"The Science Behind Tremors, the Movie",Fernbank Museum of Natural History,30307,NE ITP,Sun. 03. 19,3:00 PM,5:30 PM,"Adults, Teens (13-18 yrs)",Free with adv registration,,150,Partner handled sales,63
BeastCam: Imaging Wildlife,Kavarna,30030,NE ITP,Sun. 03. 19,4:00 PM,6:00 PM,"Adults, Teens (13-18 yrs), Families (kids & adults together)",Free,,40,--,60
Circus Science,Buck's Sport Barn,30309,NE ITP,Sun. 03. 19,5:00 PM,6:30 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)","$12 presale, $15 at the door",,40,Partner handled sales,15
A Lens on CDC: Interactive Family Tour,David J Sencer CDC Museum,30329,NE ITP,Mon. 03. 20,10:00 AM,11:00 AM,"Families (kids & adults together), Teens (13-18 yrs), Adults  ",Free with adv registration,,20,Partner handled sales,20
Dive into the Science of Your Home Aquarium,Ga Aquarium,30313,NW ITP,Mon. 03. 20,11:00 AM,2:00 PM,"Adults, Teens (13-18 yrs)",Free with admission,,100,--,100
A Lens on CDC: Interactive Family Tour,David J Sencer CDC Museum,30329,NE ITP,Mon. 03. 20,1:00 PM,2:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Adults  ",Free with adv registration,,20,Partner handled sales,18
The Science Behind Star Wars,"GSU Perimeter College, Dunwoody Campus, Building NC Room 1100",30338,NE OTP,Mon. 03. 20,5:00 PM,7:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free,,80,--,160
Investigating Our Human Past,Emory University,30307,NE ITP,Mon. 03. 20,7:00 PM,8:30 PM,"Families (kids & adults together), Adults, Teens (13-18 yrs)",Free,,40,--,80
Bio-Bus: Chemistry Edition!,Atlanta-Fulton Central Library,30303,NE ITP,Tue. 03. 21,10:00 AM,10:55 AM,"Families (kids & adults together), Children (5-12 yrs)",Free with adv registration,,20,Partner handled sales,40
A Lens on CDC: Interactive Family Tour,David J Sencer CDC Museum,30329,NE ITP,Tue. 03. 21,10:00 AM,11:00 AM,"Families (kids & adults together), Teens (13-18 yrs), Adults  ",Free with adv registration,,20,Partner handled sales,9
The Science Behind the Scenes at Clorox,The Clorox Company,30297,SE OTP,Tue. 03. 21,10:00 AM,1:00 PM,"Adults, Teens (13-18 yrs), Families (kids & adults together)",Free with adv registration,,35,35,35
Bio-Bus: Biotechnology & Forensics,Atlanta-Fulton Central Library,30303,NE ITP,Tue. 03. 21,11:30 AM,1:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free with adv registration,,20,Partner handled sales,63
A Lens on CDC: Interactive Family Tour,David J Sencer CDC Museum,30329,NE ITP,Tue. 03. 21,1:00 PM,2:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Adults  ",Free with adv registration,,20,Partner handled sales,9
"Chemistry, Now in Technicolor!",GSU Perimeter College Clarkston Campus,30021,NE OTP,Tue. 03. 21,1:00 PM,2:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free,,80,--,80
Insects Around Us,"GSU Perimeter College, Decatur Campus, Building SC, Gymnasium",30034,SE OTP,Tue. 03. 21,1:00 PM,3:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free,,40,--,32
The Bzzz Behind Beekeeping,UGA Clayton County Extension,30236,SE OTP,Tue. 03. 21,1:00 PM,3:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs), Adults",Free with adv registration,,20,0,0
Family Science Night,Cobb County Extension Office,30060,NW OTP,Tue. 03. 21,6:00 PM,8:00 PM,"Families (kids & adults together), Children (5-12 yrs), Preschool (0-4 yrs)",Free with adv registration,,60,Partner handled sales,60
Outdoor STEAM,Outdoor Activity Center,30310,SW ITP,Wed. 03. 22,9:30 AM,2:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs), Preschool (0-4 yrs)",Free with adv registration,,120,Partner handled sales,100
A Lens on CDC: Interactive Family Tour,David J Sencer CDC Museum,30329,NE ITP,Wed. 03. 22,10:00 AM,11:00 AM,"Families (kids & adults together), Teens (13-18 yrs), Adults  ",Free with adv registration,,20,Partner handled sales,11
A Lens on CDC: Interactive Family Tour,David J Sencer CDC Museum,30329,NE ITP,Wed. 03. 22,1:00 PM,2:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Adults  ",Free with adv registration,,20,Partner handled sales,14
STEMCon Night,Stone Mountain Middle School,30083,NE OTP,Wed. 03. 22,4:30 PM,6:00 PM,"Children (5-12 yrs), Teens (13-18 yrs)",Free with adv registration,SOLD OUT,130,Partner handled sales,116
Science of Sour Beer,Orpheus Brewing,30324,NE ITP,Wed. 03. 22,6:00 PM,8:00 PM,Adults,$20,SOLD OUT,80,80,93
Science Improv,Whole World Improv Theatre,30309,NE ITP,Wed. 03. 22,7:30 PM,9:30 PM,"Teens (13-18 yrs), Adults",$10 ($5 for students),,50,Partner handled sales,100
The Sound of Light,"GSU Perimeter College, Decatur Campus, Building SC, Gymnasium",30034,SE OTP,Thu. 03. 23,1:00 PM,3:00 PM,"Families (kids & adults together), Children (5-12 yrs), Teens (13-18 yrs)",Free,,100,--,108
A Lens on CDC: Interactive Family Tour,David J Sencer CDC Museum,30329,NE ITP,Thu. 03. 23,3:00 PM,4:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Adults  ",Free with adv registration,,20,Partner handled sales,16
A Lens on CDC: Interactive Family Tour,David J Sencer CDC Museum,30329,NE ITP,Thu. 03. 23,6:00 PM,7:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Adults  ",Free with adv registration,,20,Partner handled sales,15
Unveiling the Internet,Math and Science Center Emory University,30322,NE ITP,Thu. 03. 23,6:30 PM,7:30 PM,Teens (13-18 yrs),Free with adv registration,,15,Partner handled sales,16
Unveiling the Internet,Math and Science Center Emory University,30322,NE ITP,Thu. 03. 23,7:45 PM,8:45 PM,Teens (13-18 yrs),Free with adv registration,,15,Partner handled sales,8
Science for EveryBODY,Chattahoochee Technical College,30101,NW OTP,Fri. 03. 24,9:00 AM,4:00 PM,"Children (5-12 yrs), Adults, Families (kids & adults together), Teens (13-18 yrs), Preschool (0-4 yrs)",Free,,150,--,1400
Bio-Bus: DNA is for Families,Wesley Chapel Library,30034,SE OTP,Fri. 03. 24,10:30 AM,12:00 PM,"Families (kids & adults together), Children (5-12 yrs)",Free with adv registration,,20,Partner handled sales,23
Bio-Bus: DNA is for Families,Wesley Chapel Library,30034,SE OTP,Fri. 03. 24,1:00 PM,2:30 PM,"Families (kids & adults together), Children (5-12 yrs)",Free with adv registration,,20,Partner handled sales,24
Physics Live!,Math and Science Center Emory University,30322,NE ITP,Fri. 03. 24,3:30 PM,7:00 PM,"Families (kids & adults together), Children (5-12 yrs)",Free,,250,--,400
Chemistry Carnival,Emory University Atwood Chemistry Center,30322,NE ITP,Fri. 03. 24,3:30 PM,7:00 PM,"Families (kids & adults together), Children (5-12 yrs)",Free,,250,--,400
SciencEscape,Fernbank Science Center,30307,NE ITP,Fri. 03. 24,6:30 PM,9:00 PM,"Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs)",Free,,300,--,2000
Exploration Expo,Centennial Olympic Park,30313,NW ITP,Sat. 03.25,11:00 AM,4:00 PM,"Adults, Families (kids & adults together), Teens (13-18 yrs), Children (5-12 yrs), Preschool (0-4 yrs)",Free,,20000,--,19000
