player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,draftlevel
Jeff Green,DEN,35,203.2,106.59412,Georgetown,USA,2007,1,5,75,10.3,3.1,1.3,1.8,0.024,0.1,0.16,0.627,0.071,2021-22,1
Isaiah Jackson,IND,20,208.28,92.98636,Kentucky,USA,2021,1,22,36,8.3,4.1,0.3,-2.8,0.109,0.157,0.214,0.607,0.027,2021-22,1
Jayson Tatum,BOS,24,203.2,95.25432,Duke,USA,2017,1,3,76,26.9,8,4.4,12.1,0.032,0.18,0.313,0.578,0.204,2021-22,1
Jaysean Paige,DET,27,187.96,90.7184,West Virginia,USA,Undrafted,Undrafted,Undrafted,1,0,1,1,-69.6,0,0.091,0.211,0,0.333,2021-22,3
Jaylen Nowell,MIN,22,193.04,91.171992,Washington,USA,2019,2,43,62,8.5,2,2.1,2.8,0.022,0.1,0.205,0.581,0.197,2021-22,2
Jaylen Morris,SAS,26,195.58,83.91452,Molloy,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0.7,22.9,0,0.118,0.231,0.129,0.143,2021-22,3
Jaylen Hoard,OKC,23,203.2,97.975872,Wake Forest,France,Undrafted,Undrafted,Undrafted,7,14.7,12,2.4,-17.2,0.112,0.228,0.184,0.536,0.113,2021-22,3
Jaylen Brown,BOS,25,198.12,101.151016,California,USA,2016,1,3,66,23.6,6.1,3.5,9.8,0.024,0.145,0.298,0.574,0.173,2021-22,1
Jay Scrubb,LAC,21,195.58,99.79024,None,USA,2020,2,55,18,2.7,0.9,0.4,6.9,0.016,0.1,0.188,0.486,0.095,2021-22,2
Jay Huff,LAL,24,215.9,108.86208,Virginia,USA,Undrafted,Undrafted,Undrafted,4,0,1,0.3,36.5,0.04,0.111,0.083,0,0.071,2021-22,3
Jaxson Hayes,NOP,22,210.82,99.79024,Texas-Austin,USA,2019,1,8,70,9.3,4.5,0.6,0.5,0.08,0.146,0.159,0.68,0.047,2021-22,1
Javonte Smart,MIA,23,193.04,92.98636,Louisiana State,USA,Undrafted,Undrafted,Undrafted,17,3,1.4,0.9,-10.6,0.022,0.094,0.154,0.407,0.121,2021-22,3
Javonte Green,CHI,28,195.58,92.98636,Radford,USA,Undrafted,Undrafted,Undrafted,65,7.2,4.2,0.9,1.6,0.062,0.12,0.113,0.637,0.051,2021-22,3
Javin DeLaurier,MIL,24,208.28,106.140528,Duke,USA,Undrafted,Undrafted,Undrafted,1,0,1,0,57.1,0,0.25,0,0,0,2021-22,3
Jarron Cumberland,POR,24,195.58,92.98636,Cincinnati,USA,Undrafted,Undrafted,Undrafted,3,0.7,1,0.3,40.2,0.059,0.182,0.061,0.5,0.1,2021-22,3
Jarrett Culver,MEM,23,198.12,88.45044,Texas Tech,USA,2019,1,6,37,3.5,1.3,0.9,-2.3,0.033,0.101,0.199,0.433,0.135,2021-22,1
Jarrett Allen,CLE,24,208.28,110.222856,Texas-Austin,USA,2017,1,22,56,16.1,10.8,1.6,3.3,0.109,0.213,0.177,0.698,0.079,2021-22,1
Jeff Dowtin,ORL,25,190.5,80.285784,Rhode Island,USA,Undrafted,Undrafted,Undrafted,9,2.1,2,1.1,-12.3,0.065,0.097,0.119,0.353,0.139,2021-22,3
Jarred Vanderbilt,MIN,23,205.74,97.068688,Kentucky,USA,2018,2,41,74,6.9,8.4,1.3,5,0.107,0.212,0.108,0.612,0.066,2021-22,2
Devin Vassell,SAS,21,195.58,90.7184,Florida State,USA,2020,1,11,71,12.3,4.3,1.9,1,0.021,0.128,0.184,0.54,0.096,2021-22,1
Jerami Grant,DET,28,203.2,95.25432,Syracuse,USA,2014,2,39,47,19.2,4.1,2.4,-7.8,0.017,0.108,0.253,0.556,0.13,2021-22,2
Jon Teske,MEM,25,215.9,120.20188,Michigan,USA,Undrafted,Undrafted,Undrafted,3,0,0.7,0.3,-7.1,0,0.286,0.1,0,0.167,2021-22,3
John Konchar,MEM,26,195.58,95.25432,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,72,4.8,4.6,1.5,2.7,0.059,0.182,0.097,0.615,0.109,2021-22,3
John Collins,ATL,24,205.74,102.511792,Wake Forest,USA,2017,1,19,54,16.2,7.8,1.8,0.8,0.056,0.19,0.202,0.61,0.088,2021-22,1
Joel Embiid,PHI,28,213.36,127.00576,Kansas,Cameroon,2014,1,3,68,30.6,11.7,4.2,7.9,0.068,0.273,0.375,0.616,0.236,2021-22,1
Joel Ayayi,WAS,22,193.04,81.64656,Gonzaga,France,Undrafted,Undrafted,Undrafted,7,0.3,0.4,0.6,12.2,0.037,0.105,0.133,0.167,0.364,2021-22,3
Joe Wieskamp,SAS,22,198.12,92.98636,Iowa,USA,2021,2,41,29,2.1,0.5,0.3,1.5,0.017,0.045,0.129,0.494,0.065,2021-22,2
Joe Johnson,BOS,41,200.66,108.86208,Arkansas,USA,2001,1,10,1,2,0,0,-100,0,0,0.2,1,0,2021-22,1
Joe Ingles,POR,34,203.2,99.79024,None,Australia,Undrafted,Undrafted,Undrafted,45,7.2,2.9,3.5,8.2,0.01,0.099,0.129,0.551,0.195,2021-22,3
Joe Harris,BKN,30,198.12,99.79024,Virginia,USA,2014,2,33,14,11.3,4,1,1.1,0.012,0.109,0.146,0.624,0.047,2021-22,2
Jock Landale,SAS,26,210.82,115.66596,None,Australia,Undrafted,Undrafted,Undrafted,54,4.9,2.6,0.8,-1.1,0.094,0.118,0.172,0.597,0.115,2021-22,3
Jimmy Butler,MIA,32,200.66,104.32616,Marquette,USA,2011,1,30,57,21.4,5.9,5.5,6.1,0.055,0.125,0.26,0.592,0.264,2021-22,1
Jevon Carter,MIL,26,185.42,90.7184,West Virginia,USA,2018,2,32,66,4.2,1.7,1.5,-3,0.014,0.097,0.135,0.531,0.148,2021-22,2
Jericho Sims,NYK,23,205.74,113.398,Texas-Austin,USA,2021,2,58,41,2.2,4.1,0.5,6.5,0.108,0.187,0.068,0.674,0.054,2021-22,2
Jeremy Lamb,SAC,30,195.58,81.64656,Connecticut,USA,2012,1,12,56,7.3,2.8,1.4,0.6,0.026,0.134,0.189,0.521,0.124,2021-22,1
Jeremiah Robinson-Earl,OKC,21,203.2,109.769264,Villanova,USA,2021,2,32,49,7.5,5.6,1,-9.8,0.061,0.172,0.152,0.526,0.069,2021-22,2
Jemerrio Jones,LAL,27,195.58,79.3786,New Mexico State,USA,2018,Undrafted,Undrafted,2,2,1.5,0,-38,0.118,0.056,0.083,0.667,0,2021-22,3
Isaiah Hartenstein,LAC,24,213.36,113.398,None,Germany,2017,2,43,68,8.3,4.9,2.4,7,0.097,0.158,0.177,0.664,0.193,2021-22,2
Jaren Jackson Jr.,MEM,22,210.82,109.769264,Michigan State,USA,2018,1,4,78,16.3,5.8,1.1,7.9,0.05,0.145,0.248,0.535,0.058,2021-22,1
Jared Butler,UTA,21,190.5,87.543256,Baylor,USA,2021,2,40,42,3.8,1.1,1.5,-0.1,0.014,0.102,0.221,0.509,0.258,2021-22,2
Jabari Parker,BOS,27,200.66,111.13004,Duke,USA,2014,1,2,12,4.4,2.3,0.5,-0.8,0.042,0.18,0.191,0.632,0.094,2021-22,1
JaVale McGee,PHX,34,213.36,122.46984,Nevada-Reno,USA,2008,1,18,74,9.2,6.7,0.6,5.8,0.134,0.266,0.214,0.651,0.055,2021-22,1
JaQuori McLaughlin,DAL,24,193.04,86.18248,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,4,0,0,0.5,-34.6,0,0,0.065,0,0.2,2021-22,3
JaMychal Green,DEN,32,203.2,102.965384,Alabama,USA,Undrafted,Undrafted,Undrafted,67,6.4,4.2,0.9,-3.5,0.073,0.187,0.168,0.587,0.084,2021-22,3
Ja Morant,MEM,22,190.5,78.925008,Murray State,USA,2019,1,2,57,27.4,5.7,6.7,4.1,0.037,0.124,0.33,0.575,0.33,2021-22,1
JT Thor,CHA,19,205.74,92.079176,Auburn,USA,2021,2,37,33,2,1.3,0.6,0.3,0.04,0.111,0.116,0.525,0.097,2021-22,2
Ivica Zubac,LAC,25,213.36,108.86208,None,Croatia,2016,2,32,76,10.3,8.5,1.6,-3.5,0.115,0.223,0.168,0.66,0.097,2021-22,2
Ish Wainright,PHX,27,195.58,113.398,Baylor,USA,Undrafted,Undrafted,Undrafted,45,2.4,1.2,0.3,5.6,0.066,0.072,0.134,0.494,0.057,2021-22,3
Ish Smith,WAS,33,182.88,79.3786,Wake Forest,USA,Undrafted,Undrafted,Undrafted,65,6.3,2.2,3.8,-6.7,0.021,0.1,0.195,0.465,0.318,2021-22,3
Isaiah Todd,WAS,20,205.74,99.336648,None,USA,2021,2,31,12,1.7,1,0.3,-15.6,0.034,0.123,0.188,0.349,0.095,2021-22,2
Isaiah Thomas,CHA,33,175.26,83.91452,Washington,USA,2011,2,60,22,8.4,1.3,1.5,-1.3,0.012,0.071,0.245,0.516,0.155,2021-22,2
Isaiah Stewart,DET,21,203.2,113.398,Washington,USA,2020,1,16,71,8.3,8.7,1.2,-9.5,0.111,0.217,0.144,0.55,0.07,2021-22,1
Isaiah Roby,OKC,24,203.2,104.32616,Nebraska-Lincoln,USA,2019,2,45,45,10.1,4.8,1.6,-8.8,0.074,0.145,0.185,0.607,0.117,2021-22,2
Isaiah Livers,DET,23,198.12,105.233344,Michigan,USA,2021,2,42,19,6.4,3,1.1,-0.8,0.037,0.109,0.125,0.629,0.077,2021-22,2
Isaiah Joe,PHI,22,193.04,74.84268,Arkansas,USA,2020,2,49,55,3.6,1,0.6,1.7,0.01,0.079,0.144,0.519,0.08,2021-22,2
Jaden McDaniels,MIN,21,205.74,83.91452,Washington,USA,2020,1,28,70,9.2,4.2,1.1,0.6,0.038,0.115,0.149,0.553,0.063,2021-22,1
Jared Harper,NOP,24,177.8,79.3786,Auburn,USA,Undrafted,Undrafted,Undrafted,5,7.4,0.4,2.8,9.8,0.047,0,0.287,0.666,0.538,2021-22,3
Jaden Springer,PHI,19,193.04,91.625584,Tennessee,USA,2021,1,28,2,1,1,0,-72.4,0.143,0.125,0.118,1,0,2021-22,1
Jae'Sean Tate,HOU,26,193.04,104.32616,Ohio State,USA,Undrafted,Undrafted,Undrafted,78,11.8,5.4,2.8,-8.9,0.063,0.135,0.194,0.567,0.171,2021-22,3
Jamorko Pickett,DET,24,205.74,93.439952,Georgetown,USA,Undrafted,Undrafted,Undrafted,13,3.8,2.5,0.5,0.3,0.032,0.141,0.133,0.491,0.057,2021-22,3
James Johnson,BKN,35,200.66,108.86208,Wake Forest,USA,2009,1,16,62,5.5,3.5,2.1,-1.6,0.041,0.127,0.136,0.513,0.153,2021-22,1
James Harden,PHI,32,195.58,99.79024,Arizona State,USA,2009,1,3,65,22,7.7,10.3,3.5,0.024,0.176,0.266,0.583,0.401,2021-22,1
James Ennis III,DEN,31,198.12,97.52228,Cal State-Long Beach,USA,2013,2,50,7,4.1,1.7,0.4,0.9,0.086,0.121,0.206,0.553,0.081,2021-22,2
James Bouknight,CHA,21,193.04,86.18248,Connecticut,USA,2021,1,11,31,4.6,1.7,0.8,-6.2,0.064,0.09,0.226,0.459,0.132,2021-22,1
Jalen Suggs,ORL,21,195.58,92.98636,Gonzaga,USA,2021,1,5,48,11.8,3.6,4.4,-7.1,0.019,0.102,0.244,0.455,0.249,2021-22,1
Jalen Smith,IND,22,208.28,97.52228,Maryland,USA,2020,1,10,51,9.2,6,0.5,2.7,0.101,0.216,0.193,0.595,0.038,2021-22,1
Jalen McDaniels,CHA,24,205.74,92.98636,San Diego State,USA,2019,2,52,55,6.2,3.1,1.1,2.6,0.039,0.138,0.152,0.595,0.089,2021-22,2
Jalen Johnson,ATL,20,203.2,99.336648,Duke,USA,2021,1,20,22,2.4,1.2,0.1,-10,0.016,0.175,0.183,0.59,0.045,2021-22,1
Jalen Green,HOU,20,193.04,84.368112,None,USA,2021,1,2,67,17.3,3.4,2.6,-11.3,0.015,0.088,0.234,0.547,0.132,2021-22,1
Jalen Brunson,DAL,25,185.42,86.18248,Villanova,USA,2018,2,33,79,16.3,3.9,4.8,4.4,0.017,0.105,0.215,0.583,0.237,2021-22,2
Jakob Poeltl,SAS,26,215.9,111.13004,Utah,Austria,2016,1,9,68,13.5,9.3,2.8,3.4,0.125,0.184,0.182,0.613,0.131,2021-22,1
Jake Layman,MIN,28,203.2,94.800728,Maryland,USA,2016,2,47,34,2.4,1.1,0.3,-3.4,0.025,0.123,0.16,0.5,0.055,2021-22,2
Jaime Echenique,WAS,25,208.28,117.026736,Wichita State,Colombia,Undrafted,Undrafted,Undrafted,1,0,0,0,-30,0,0,0,0,0,2021-22,3
Jahmi'us Ramsey,SAC,21,190.5,86.18248,Texas Tech,USA,2020,2,43,19,3.2,0.7,0.4,-6,0.027,0.068,0.208,0.468,0.075,2021-22,2
Jae Crowder,PHX,31,198.12,106.59412,Marquette,USA,2012,2,34,67,9.4,5.3,1.9,10.2,0.017,0.16,0.146,0.541,0.08,2021-22,2
Devin Cannady,ORL,26,187.96,83.007336,Princeton,USA,2019,Undrafted,Undrafted,5,10,1.2,2,-2.6,0.006,0.032,0.156,0.531,0.102,2021-22,3
Cody Zeller,POR,29,210.82,108.86208,Indiana,USA,2013,1,4,27,5.2,4.6,0.8,-2.1,0.128,0.212,0.153,0.627,0.087,2021-22,1
Desmond Bane,MEM,24,195.58,97.52228,TCU,USA,2020,1,30,76,18.2,4.4,2.7,6.9,0.018,0.118,0.226,0.592,0.136,2021-22,1
Braxton Key,DET,25,203.2,102.0582,Virginia,USA,Undrafted,Undrafted,Undrafted,11,7.2,4.5,1,8,0.058,0.187,0.184,0.508,0.077,2021-22,3
Brandon Williams,POR,22,187.96,86.18248,Arizona,USA,Undrafted,Undrafted,Undrafted,24,12.9,3.1,3.9,-20.4,0.026,0.089,0.246,0.476,0.235,2021-22,3
Brandon Knight,DAL,30,187.96,82.553744,Kentucky,USA,2011,1,8,5,6.4,1.6,1.6,-3.6,0,0.098,0.216,0.561,0.2,2021-22,1
Brandon Ingram,NOP,24,203.2,86.18248,Duke,USA,2016,1,2,55,22.7,5.8,5.6,3.3,0.019,0.152,0.291,0.554,0.268,2021-22,1
Brandon Goodwin,CLE,26,182.88,81.64656,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,36,4.8,1.9,2.5,-6.3,0.028,0.11,0.177,0.501,0.278,2021-22,3
Brandon Clarke,MEM,25,203.2,97.52228,Gonzaga,Canada,2019,1,21,64,10.4,5.3,1.3,7.5,0.099,0.148,0.171,0.66,0.101,2021-22,1
Brandon Boston,LAC,20,198.12,85.275296,Kentucky,USA,2021,2,51,51,6.7,2.2,1,-2,0.02,0.111,0.212,0.481,0.103,2021-22,2
Bradley Beal,WAS,29,193.04,93.893544,Florida,USA,2012,1,3,40,23.2,4.7,6.6,-3.5,0.026,0.099,0.297,0.539,0.309,2021-22,1
