"","X","age","state.code","county.code","income","sex","education","race","degree","employed","person","county","subregion","lat","long","group"
"103",375,30,6,37,61784.0679986402,"male",16,"Black only","4-year degree",1,750,"los angeles","los angeles",34.5512665618754,-117.946583915587,1
"104",2020,26,6,37,0,"female",16,"Asian only","4-year degree",NA,839,"los angeles","los angeles",34.0866044564691,-118.127142581423,1
"105",1776,28,6,0,126161.590354983,"male",18,"Asian only","4-year degree",1,2001,"unknown","los angeles",33.7020871732607,-117.66577637763,1
"106",752,29,6,81,72121.2431215681,"male",16,"Asian only","4-year degree",1,1917,"san mateo","san mateo",37.4767880785406,-122.286543040291,1
"107",1569,28,6,37,33285.4875810444,"male",12,"Black only","no 4-year degree",1,756,"los angeles","los angeles",34.105275435109,-118.341233690951,1
"108",1810,30,6,1,40000,"male",18,"Black only","4-year degree",1,1709,"alameda","alameda",37.7018255512592,-121.918439961808,1
"109",117,25,6,0,13836.0110730631,"female",14,"White only","no 4-year degree",1,1101,"unknown","sacramento",34.1891532419457,-118.088482456734,1
"110",1674,29,6,0,78741.6731384628,"female",16,"White only","4-year degree",1,1983,"unknown","los angeles",34.1555712857545,-118.350072104834,1
"111",145,29,6,73,88996.5939797461,"female",16,"White only","4-year degree",1,1536,"san diego","san diego",33.1169318859116,-117.192531585401,1
"112",65,29,6,59,127858.775469474,"male",18,"White only","4-year degree",1,858,"orange","orange",33.7239729015766,-117.735214790822,1
"113",2218,31,6,77,60000,"female",13,"Asian only","no 4-year degree",1,2195,"san joaquin","san joaquin",38.0503635739959,-121.326044587467,1
"114",658,33,6,81,513543.133833446,"female",18,"Asian only","4-year degree",1,1940,"san mateo","san mateo",37.4445713986516,-122.325398029073,1
"115",1229,32,6,37,94824.7744422406,"male",16,"Asian only","4-year degree",1,739,"los angeles","los angeles",33.8978051771938,-118.128104074504,1
"116",938,29,6,37,15000,"male",16,"White only","4-year degree",1,235,"los angeles","los angeles",33.9636585479122,-118.08626710008,1
"117",117,25,6,0,14782.5397782028,"female",14,"White only","no 4-year degree",1,1101,"unknown","sacramento",38.3969625426752,-121.490391650747,1
"118",770,25,6,73,49586.5431292914,"male",14,"White only","no 4-year degree",1,1551,"san diego","san diego",32.962039625708,-117.162458769055,1
"119",949,31,6,73,39934.5978551544,"male",12,"White only","no 4-year degree",1,1505,"san diego","san diego",33.0183968603614,-117.144745398992,1
"120",2035,26,6,37,10973.7665504217,"male",16,"White only","4-year degree",1,366,"los angeles","los angeles",34.0288930099106,-118.469107087321,1
"121",222,27,6,37,27000,"male",16,"White only","4-year degree",1,675,"los angeles","los angeles",33.8910133511748,-118.307227944636,1
"122",1127,31,6,111,0,"female",16,"White only","4-year degree",NA,1084,"ventura","ventura",34.5503287431385,-119.118203774489,1
"123",1667,26,6,0,58793.8481231686,"female",14,"White only","no 4-year degree",1,1208,"unknown","kern",33.0908480525314,-117.006702092949,1
"124",586,33,6,73,0,"female",18,"Asian only","4-year degree",NA,1510,"san diego","san diego",33.2808333833943,-117.318201332361,1
"125",245,28,6,99,30817.0722909272,"male",14,"Asian only","no 4-year degree",1,1049,"stanislaus","stanislaus",37.30063751475,-121.29395546979,1
"126",943,35,6,0,45092.5534365699,"female",11,"White only","no 4-year degree",1,1155,"unknown","ventura",37.7170396462213,-121.938467748739,1
"127",1969,31,6,37,0,"male",12,"White only","no 4-year degree",1,256,"los angeles","los angeles",34.1643349768612,-118.529850777515,1
"128",1896,29,6,29,0,"female",13,"White only","no 4-year degree",NA,38,"kern","kern",35.0804778798506,-119.105806420388,1
"129",1352,28,6,37,63600,"female",16,"White only","4-year degree",1,241,"los angeles","los angeles",34.1003702682553,-118.348796102871,1
"130",214,30,6,0,78307.4943604879,"female",16,"White only","4-year degree",1,1107,"unknown","san diego",33.8189912309151,-118.294018326169,1
"131",118,27,6,0,46108.1009428017,"male",12,"White only","no 4-year degree",1,1242,"unknown","san diego",33.8030364204207,-118.305854903548,1
"132",822,33,6,81,126449,"female",18,"White-Black","4-year degree",1,1919,"san mateo","san mateo",37.4886715159434,-122.277088372556,1
"133",1736,30,6,0,30000,"female",12,"White only","no 4-year degree",1,1291,"unknown","los angeles",34.1665511001899,-118.096788247466,1
"134",2070,25,6,0,0,"male",12,"White-Black","no 4-year degree",0,1251,"unknown","san diego",34.047188742497,-118.158432136868,1
"135",783,28,6,37,15207.8252804931,"female",10,"White only","no 4-year degree",1,456,"los angeles","los angeles",34.0023093169177,-118.404957304889,1
"136",5,31,6,73,0,"female",16,"White only","4-year degree",NA,1533,"san diego","san diego",32.7915006799478,-117.152088362382,1
"137",1648,31,6,37,125722.858661786,"female",16,"White only","4-year degree",1,261,"los angeles","los angeles",34.0224920049974,-118.349281336694,1
"138",2246,27,6,37,131375.630088709,"female",13,"White-Black-AI","no 4-year degree",1,527,"los angeles","los angeles",33.9999926442042,-118.404693400556,1
"139",884,29,6,0,45758.4584900178,"male",12,"White only","no 4-year degree",1,1223,"unknown","shasta",34.0089271512008,-118.356479444813,1
"140",162,35,6,37,9462.44095498696,"female",14,"White only","no 4-year degree",NA,349,"los angeles","los angeles",34.0235946910722,-118.045442270764,1
"141",419,27,6,37,5742.25832037628,"male",16,"White only","4-year degree",1,648,"los angeles","los angeles",34.0795592460758,-118.4965286877,1
"142",1536,28,6,37,21955.6128707714,"female",13,"White only","no 4-year degree",1,803,"los angeles","los angeles",34.0166294587332,-118.271453506343,1
"143",1953,31,6,37,50809.7308105789,"female",12,"White only","no 4-year degree",1,497,"los angeles","los angeles",34.1168322507776,-118.403218484172,1
"144",823,32,6,0,0,"male",12,"White only","no 4-year degree",NA,1210,"unknown","orange",33.8189379533825,-117.860738374847,1
"145",1063,30,6,37,731.99549280107,"male",12,"White only","no 4-year degree",1,681,"los angeles","los angeles",34.0194502550826,-118.25395395243,1
"146",1677,35,6,37,54754.7298129648,"female",13,"Asian only","no 4-year degree",1,239,"los angeles","los angeles",34.1600660837991,-118.301774868749,1
"147",838,28,6,73,59140.6089216471,"male",13,"Asian only","no 4-year degree",1,1677,"san diego","san diego",33.0840832854566,-117.25854632252,1
"148",1051,34,6,73,90000,"female",16,"White only","4-year degree",1,1569,"san diego","san diego",33.0816040718474,-117.259495614389,1
"149",1944,29,6,37,0,"male",12,"White only","no 4-year degree",NA,367,"los angeles","los angeles",34.3143466433615,-117.969675166557,1
"150",1891,27,6,59,0,"female",16,"American Indian, Alaskan Native only (AI)","4-year degree",NA,879,"orange","orange",33.6539676897392,-117.672852283829,1
"151",2085,26,6,0,49754.9681882374,"male",12,"White only","no 4-year degree",1,96,"unknown","los angeles",34.0075122231662,-118.288294851102,1
"152",638,33,6,37,21672.9007484391,"male",14,"Asian only","no 4-year degree",1,478,"los angeles","los angeles",33.9442683406378,-117.849874149439,1
"153",877,32,6,0,47008.6320932023,"male",12,"White only","no 4-year degree",1,1175,"unknown","los angeles",34.0734520225998,-118.418726446656,1
"154",1161,35,6,37,0,"female",12,"White only","no 4-year degree",NA,656,"los angeles","los angeles",33.9296633450157,-118.135330028873,1
"155",72,35,6,0,33414.8026357871,"female",12,"White only","no 4-year degree",1,1314,"unknown","los angeles",33.6579918510718,-117.742296697034,1
"156",2226,28,6,59,44369.5851105265,"female",12,"White only","no 4-year degree",1,884,"orange","orange",33.7764061140741,-117.807925512935,1
"157",1113,31,6,37,49259.0009517968,"female",12,"Black only","no 4-year degree",1,637,"los angeles","los angeles",33.8849509500507,-118.202590452464,1
"158",768,26,6,29,0,"female",20,"Asian only","4-year degree",NA,41,"kern","kern",35.2976076817646,-119.345501324349,1
"159",2080,35,6,37,119289.431598503,"male",14,"Black only","no 4-year degree",1,480,"los angeles","los angeles",34.2473447223792,-117.699239804377,1
"160",1909,31,6,59,202545.610638335,"male",18,"Asian only","4-year degree",1,875,"orange","orange",33.8266342928668,-117.796090851944,1
"161",1827,27,6,0,76310.683215037,"female",13,"Asian only","no 4-year degree",1,1828,"unknown","san diego",35.8979997420538,-120.120125521448,1
"162",290,31,6,37,0,"female",12,"White only","no 4-year degree",NA,598,"los angeles","los angeles",33.9829319680506,-118.382037299671,1
"163",2158,33,6,1,0,"male",18,"Asian only","4-year degree",0,1771,"alameda","alameda",37.8141085952055,-122.125623175041,1
"164",1307,32,6,73,39007.132770298,"female",16,"White only","4-year degree",1,1583,"san diego","san diego",33.2513848809539,-117.273528300454,1
"165",1853,31,6,1,64313.6472003534,"male",18,"Asian only","4-year degree",1,1717,"alameda","alameda",37.668822804295,-122.008463171631,1
"166",360,28,6,0,17448.2353630476,"female",18,"White only","4-year degree",1,69,"unknown","san francisco",34.0871629727986,-118.415206272267,1
"167",1693,27,6,37,33587.2688526288,"female",12,"White only","no 4-year degree",1,620,"los angeles","los angeles",34.0356837963942,-118.215836150634,1
"168",1195,26,6,1,130000,"male",18,"Asian only","4-year degree",1,1775,"alameda","alameda",37.6976029224427,-121.849493025561,1
"169",2171,31,6,37,0,"female",9,"White only","no 4-year degree",NA,716,"los angeles","los angeles",34.1003612585932,-118.326590221583,1
"170",514,34,6,111,185954.041539226,"female",16,"White only","4-year degree",1,1078,"ventura","ventura",34.5516188345444,-118.995496005381,1
"171",1542,30,6,73,19333.5474795057,"male",12,"White only","no 4-year degree",1,1634,"san diego","san diego",33.2281529888829,-117.184480777534,1
"172",608,30,6,0,86666.096098721,"female",14,"White only","no 4-year degree",1,1860,"unknown","san joaquin",37.4860319127131,-121.249482803707,1
"173",619,31,6,37,50430.2690248005,"female",14,"Black only","no 4-year degree",1,282,"los angeles","los angeles",34.0241185955349,-118.371713883727,1
"174",33,28,6,0,140285.128416959,"female",18,"Asian only","4-year degree",1,2087,"unknown","stanislaus",33.6966296433815,-117.667159250521,1
"175",524,29,6,37,0,"male",14,"Asian only","no 4-year degree",NA,435,"los angeles","los angeles",34.0027229900897,-118.349116982654,1
"176",2080,35,6,37,106377.022032626,"male",14,"Black only","no 4-year degree",1,480,"los angeles","los angeles",33.9945280558323,-118.29105179758,1
"177",1977,33,6,37,46486.7962966673,"female",18,"White only","4-year degree",1,506,"los angeles","los angeles",33.8237743662057,-118.096892643478,1
"178",2075,34,6,95,199976.593619213,"male",16,"White only","4-year degree",1,2232,"solano","solano",38.1354144444972,-122.046988024856,1
"179",407,30,6,81,22980.25396429,"female",13,"White only","no 4-year degree",1,1927,"san mateo","san mateo",37.4291158887494,-122.249920686708,1
"180",945,31,6,37,104194.065289339,"female",16,"White only","4-year degree",1,660,"los angeles","los angeles",33.7749117755896,-118.362177405195,1
"181",1477,32,6,37,0,"female",11,"White only","no 4-year degree",NA,720,"los angeles","los angeles",34.2024672524646,-118.25335351435,1
"182",204,33,6,61,45022.0744043589,"male",12,"White only","no 4-year degree",1,1378,"placer","placer",38.9866622029405,-120.994303977182,1
"183",941,27,6,37,0,"male",16,"White only","4-year degree",NA,787,"los angeles","los angeles",34.1196586381315,-118.176361430954,1
"184",504,26,6,37,49935.6301521705,"female",12,"White only","no 4-year degree",1,822,"los angeles","los angeles",34.1025545522341,-118.255864864689,1
"185",1105,26,6,37,38241.5235973895,"male",16,"Asian only","4-year degree",0,271,"los angeles","los angeles",34.2561341384217,-118.252884802244,1
"186",2109,27,6,0,37927.1473768167,"female",12,"White only","no 4-year degree",1,1329,"unknown","santa barbara",37.58250275974,-121.929487690217,1
"187",907,35,6,17,69368.0839055683,"female",16,"White only","4-year degree",1,1375,"el dorado","el dorado",38.7399813993979,-120.536528750673,1
"188",1449,28,6,0,0,"male",16,"White only","4-year degree",NA,1371,"unknown","kern",34.019876644409,-118.492891354427,1
"189",702,31,6,37,67561.9252608158,"female",18,"Asian only","4-year degree",1,815,"los angeles","los angeles",34.4047780733485,-117.906220148093,1
"190",1090,27,6,67,29723.1979612261,"female",13,"White only","no 4-year degree",1,1437,"sacramento","sacramento",38.4306862073518,-121.547009955708,1
"191",1237,34,6,59,41804.907752201,"female",13,"White only","no 4-year degree",1,953,"orange","orange",33.77733862876,-117.864352895489,1
"192",631,25,6,17,23280.8550843038,"male",12,"White only","no 4-year degree",1,1376,"el dorado","el dorado",38.7970350870547,-120.31227231465,1
"193",722,25,6,37,56430.5524779484,"female",18,"White only","4-year degree",1,835,"los angeles","los angeles",33.935375482185,-118.236574094222,1
"194",171,34,6,29,37784.3513846863,"female",13,"White only","no 4-year degree",1,15,"kern","kern",34.9316897970161,-119.381256662505,1
"195",214,30,6,0,69213.8350498863,"female",16,"White only","4-year degree",1,1107,"unknown","san diego",38.1210737798861,-122.067390448833,1
"196",352,29,6,0,0,"female",18,"Asian only","4-year degree",NA,1354,"unknown","yolo",38.2081492646925,-121.51010604623,1
"197",971,31,6,0,75382.6820997987,"female",12,"White only","no 4-year degree",1,1189,"unknown","sacramento",36.8694508588803,-119.341206883548,1
"198",2202,30,6,37,102607.844537217,"male",20,"Asian only","4-year degree",1,496,"los angeles","los angeles",34.0339679028217,-118.175999430842,1
"199",1912,26,6,37,31189.7544914111,"female",14,"White only","no 4-year degree",1,548,"los angeles","los angeles",34.2592340550747,-118.579715416291,1
"200",1197,35,6,59,78219.5786526427,"male",12,"White only","no 4-year degree",1,1012,"orange","orange",33.6906133814088,-117.685573240557,1
"201",332,31,6,0,27077.6234800927,"male",16,"White only","4-year degree",1,1813,"unknown","stanislaus",33.7339064273975,-117.842554977647,1
"202",1521,31,6,19,0,"female",11,"White only","no 4-year degree",1,137,"fresno","fresno",36.7115742770947,-119.835962414506,1
"203",1248,34,6,1,23070.971245179,"male",12,"White only","no 4-year degree",1,1722,"alameda","alameda",37.5786481209859,-121.988395526943,1
"204",1972,29,6,37,19568.4096151963,"male",14,"White only","no 4-year degree",1,178,"los angeles","los angeles",34.2521027676291,-118.430939782272,1
"205",272,32,6,73,90658.9611042291,"male",16,"White only","4-year degree",NA,1534,"san diego","san diego",33.022210352301,-117.257130421514,1
"206",1646,28,6,37,32637.1706211474,"male",13,"White only","no 4-year degree",1,307,"los angeles","los angeles",33.9374726747001,-118.212597682678,1
"207",1791,33,6,19,30907.2206037038,"male",12,"Black only","no 4-year degree",1,160,"fresno","fresno",36.7937518515445,-119.937268931457,1
