County,FIPS code,County seat,Est.,Origin,Etymology,Density,Population,Area,Map
Butts County,035,Jackson,1825,Henry and Monroe counties,"Captain Samuel Butts (1777–1814), a hero of the Creek War",143.78,"26,887","187 sq mi
(484 km2)",
Calhoun County,037,Morgan,1854,Baker and Early counties,"John C. Calhoun (1782–1850), U.S. Congressman; U.S. Senator; Vice President of the United States from South Carolina",19.49,"5,457","280 sq mi
(725 km2)",
Camden County,039,Woodbine,1777,St. Mary and St. Thomas parishes,"Charles Pratt, 1st Earl Camden (1714–94), Lord Chancellor of Great Britain who sympathized with the cause of American independence",92.25,"58,118","630 sq mi
(1,632 km2)",
Candler County,043,Metter,1914,"Bulloch, Emanuel and Tattnall counties","Allen Daniel Candler (1834–1910), state legislator; U.S. Congressman; Governor of Georgia (1898–1902)",44.77,"11,059","247 sq mi
(640 km2)",
Carroll County,045,Carrollton,1826,Lands ceded by the Creek Indians in 1825 in the Treaty of Indian Springs,"Charles Carroll (1737–1832), the last surviving signer of the Declaration of Independence",254.71,"127,098","499 sq mi
(1,292 km2)",
Catoosa County,047,Ringgold,1853,Walker and Whitfield counties,"Chief Catoosa, a Cherokee chief",425.37,"68,910","162 sq mi
(420 km2)",
Charlton County,049,Folkston,1854,Camden County,"Robert Milledge Charlton (1807–54), jurist; U.S. Senator (1852–54); mayor of Savannah",16.56,"12,934","781 sq mi
(2,023 km2)",
Chatham County,051,Savannah,1777,Christ Church and St. Philip parishes,"William Pitt, Earl of Chatham (1708–78), British Prime Minister who sympathized with the cause of American independence",690.13,"303,655","440 sq mi
(1,140 km2)",
Chattahoochee County,053,Cusseta,1854,Marion and Muscogee counties,"Chattahoochee River, which forms the county's (and the state's) western border",34.78,"8,661","249 sq mi
(645 km2)",
Chattooga County,055,Summerville,1838,Floyd and Walker counties,Chattooga River,80.32,"25,222","314 sq mi
(813 km2)",
Cherokee County,057,Canton,1831,Cherokee Cession of 1831,"Cherokee Nation, which controlled this part of the state autonomously until 1831",675.95,"286,602","424 sq mi
(1,098 km2)",
Clarke County,059,Athens,1801,Jackson County,"Elijah Clarke (1733–99), a hero of the Revolutionary War","1,073.83","129,933","121 sq mi
(313 km2)",
Clay County,061,Fort Gaines,1854,Early and Randolph counties,"Henry Clay (1777–1852), Secretary of State; Speaker of the House of Representatives; U.S. Senator from Kentucky",14.63,"2,853","195 sq mi
(505 km2)",
Clayton County,063,Jonesboro,1858,Fayette and Henry counties,"Augustin Smith Clayton (1783–1839), a local jurist and U.S. Congressman","2,086.01","298,300","143 sq mi
(370 km2)",
Clinch County,065,Homerville,1850,Lowndes and Ware counties,"General Duncan Lamont Clinch (1784–1849), a hero of the War of 1812 and the Seminole War; U.S. Congressman",8.34,"6,746","809 sq mi
(2,095 km2)",
Cobb County,067,Marietta,1832,Cherokee County,"Colonel Thomas Willis Cobb (1784–1835), a hero of the War of 1812; U.S. Congressman","2,284.54","776,743","340 sq mi
(881 km2)",
Coffee County,069,Douglas,1854,"Clinch, Irwin, Telfair and Ware counties","General John E. Coffee (1782–1836), a hero of the War of 1812",72.32,"43,317","599 sq mi
(1,551 km2)",
Colquitt County,071,Moultrie,1856,Lowndes and Thomas counties,"Walter Terry Colquitt (1799–1855), Methodist pastor; U.S. Senator",83.64,"46,167","552 sq mi
(1,430 km2)",
Columbia County,073,Appling (de jure) and Evans (de facto),1790,Richmond County,"Christopher Columbus (1446–1506), explorer",569.52,"165,162","290 sq mi
(751 km2)",
Cook County,075,Adel,1918,Berrien County,"General Philip Cook (1817–94), Confederate general; Georgia's Georgia Secretary of State",77.35,"17,714","229 sq mi
(593 km2)",
Coweta County,077,Newnan,1826,Created on Creek lands ceded in 1825 in the treaty of Indian Springs and Creek Cessions of 1826,Coweta tribe of the Creek Nation and their village near Columbus,351.90,"155,892","443 sq mi
(1,147 km2)",
Crawford County,079,Knoxville,1822,Houston County,"William Harris Crawford (1772–1834), U.S. Senator; ambassador to France; Secretary of the Treasury",37.78,"12,277","325 sq mi
(842 km2)",
Crisp County,081,Cordele,1905,Dooly County,"Charles Frederick Crisp (1845–96), Speaker of the House of Representatives",71.65,"19,631","274 sq mi
(710 km2)",
Dade County,083,Trenton,1837,Walker County,"Major Francis L. Dade (1793–1835), a hero of the Seminole War",92.90,"16,165","174 sq mi
(451 km2)",
Dawson County,085,Dawsonville,1857,Gilmer and Lumpkin counties,"William Crosby Dawson (1798–1857), U.S. Senator (1849–55); state legislator",150.39,"31,732","211 sq mi
(546 km2)",
Decatur County,087,Bainbridge,1823,Early County,"Commodore Stephen Decatur (1779–1820), a naval hero of the actions against the Barbary Pirates in the early 19th century",48.72,"29,087","597 sq mi
(1,546 km2)",
DeKalb County,089,Decatur,1822,"Henry, Fayette, and Gwinnett counties","""Baron"" Johann DeKalb (1721–80) a German who accompanied Gilbert du Motier, Marquis de Lafayette, and was inspector general of the Colonial Army","2,846.99","762,992","268 sq mi
(694 km2)",
Dodge County,091,Eastman,1870,"Montgomery, Pulaski and Telfair counties","William Earle Dodge (1805–1883), temperance leader; businessman from New York; a co-founder of Phelps, Dodge, and Company, a mining and metals company",39.47,"19,776","501 sq mi
(1,298 km2)",
Dooly County,093,Vienna,1821,Creek Cession of 1821,"Colonel John Dooly (1740–80), a hero of the American Revolution",27.94,"10,981","393 sq mi
(1,018 km2)",
Dougherty County,095,Albany,1853,Baker County,"Charles Dougherty (1801–53), judge from Athens, Georgia",250.44,"82,645","330 sq mi
(855 km2)",
Douglas County,097,Douglasville,1870,The former Campbell County and Carroll County,"Stephen Arnold Douglas (1813–61), an Illinois Democratic Congressman who ran against Abraham Lincoln in the 1860 United States presidential election and lost",749.55,"149,160","199 sq mi
(515 km2)",
Early County,099,Blakely,1818,Creek Cession of 1814,"Peter Early (1773–1817), tenth governor of Georgia",20.67,"10,563","511 sq mi
(1,323 km2)",
Echols County,101,Statenville,1858,Clinch and Lowndes counties,"General Robert M. Echols (1798–1847), a state legislator and a hero of the Mexican–American War",9.18,"3,709","404 sq mi
(1,046 km2)",
Effingham County,103,Springfield,1777,St. Matthew and St. Philip parishes,"Thomas Howard, Earl of Effingham (1746–1791), who sympathized with the cause of American independence",149.04,"71,541","480 sq mi
(1,243 km2)",
Elbert County,105,Elberton,1790,Wilkes County,"Samuel Elbert (1740–88), a general in the Revolutionary War; became Governor of Georgia in 1785",54.24,"20,013","369 sq mi
(956 km2)",
Emanuel County,107,Swainsboro,1812,Bulloch and Montgomery counties,"Colonel David Emanuel (1744–1808), became the governor of Georgia in 1801",33.70,"23,119","686 sq mi
(1,777 km2)",
Evans County,109,Claxton,1914,Bulloch and Tattnall counties,"General Clement Anselm Evans (1832–1911), a hero of the American Civil War; the commander in chief of the United Confederate Veterans",58.13,"10,754","185 sq mi
(479 km2)",
Fannin County,111,Blue Ridge,1854,Gilmer and Union counties,"Colonel James Walker Fannin Jr. (1809–36), a hero of the Texas Revolution",67.24,"25,955","386 sq mi
(1,000 km2)",
Fayette County,113,Fayetteville,1821,Creek Cession of 1821,"Gilbert du Motier, Marquis de Lafayette (1757–1834), a French hero of the Revolutionary War",626.15,"123,351","197 sq mi
(510 km2)",
Floyd County,115,Rome,1832,Cherokee County,"General John Floyd (1769–1839), soldier, U.S. Congressman",195.15,"100,113","513 sq mi
(1,329 km2)",
Forsyth County,117,Cumming,1832,Cherokee County,"John Forsyth (1780–1841), Secretary of State under President Martin Van Buren","1,207.46","272,887","226 sq mi
(585 km2)",
Franklin County,119,Carnesville,1784,Cherokee and Creek Cessions of 1783,"Benjamin Franklin (1706–1790), writer, inventor, philosopher, publisher, and a Founding Father of the United States",94.23,"24,782","263 sq mi
(681 km2)",
Fulton County,121,Atlanta,1853,DeKalb County + the former Campbell and Milton counties and a portion of Cobb County,"Hamilton Fulton (1781–1833), a Scottish civil and hydraulic engineer.","2,039.90","1,079,105","529 sq mi
(1,370 km2)",
Gilmer County,123,Ellijay,1832,Cherokee County,"George Rockingham Gilmer (1780–1859), 16th governor of Georgia",76.96,"32,860","427 sq mi
(1,106 km2)",
Glascock County,125,Gibson,1857,Warren County,"General Thomas Glascock (1780–1841), a hero of the War of 1812 and the Seminole War of 1817; U.S. Congressman",20.51,"2,954","144 sq mi
(373 km2)",
Glynn County,127,Brunswick,1777,St. David and St. Patrick parishes,"John Glynn (1722–79), British Member of Parliament and Serjeant-at-law, who sympathized with the cause of American independence",204.20,"86,172","422 sq mi
(1,093 km2)",
Gordon County,129,Calhoun,1850,Cass (now Bartow) and Floyd counties,"William Washington Gordon (1796–1842), first president of the Central of Georgia Railroad",168.33,"59,757","355 sq mi
(919 km2)",
Grady County,131,Cairo,1905,Decatur and Thomas counties,"Henry Woodfin Grady (1850–89), orator; managing editor of the Atlanta Constitution",56.91,"26,066","458 sq mi
(1,186 km2)",
Greene County,133,Greensboro,1786,Washington County,"General Nathanael Greene (1742–86), a hero of the Revolutionary War",53.41,"20,722","388 sq mi
(1,005 km2)",
Gwinnett County,135,Lawrenceville,1818,Cherokee Cession of 1817 and Creek Cession of 1818,"Button Gwinnett (1735–1777), one of Georgia's delegates to the Continental Congress who signed the Declaration of Independence","2,271.42","983,526","433 sq mi
(1,121 km2)",
Habersham County,137,Clarkesville,1818,Cherokee Cessions of 1817 and 1819,"Colonel Joseph Habersham (1751–1815), a hero of the Revolutionary War; U.S. Postmaster General in the Cabinet of George Washington",175.38,"48,757","278 sq mi
(720 km2)",
Hall County,139,Gainesville,1818,Cherokee Cessions of 1817 and 1819,"Dr. Lyman Hall (1724–90), one of Georgia's delegates to the Continental Congress who signed the Declaration of Independence; became the governor of Georgia in 1783",551.44,"217,267","394 sq mi
(1,020 km2)",
Hancock County,141,Sparta,1793,Greene and Washington counties,"John Hancock (1737–93), President of the Continental Congress; first signer of the Declaration of Independence",18.34,"8,676","473 sq mi
(1,225 km2)",
Haralson County,143,Buchanan,1856,Carroll and Polk counties,"General Hugh Anderson Haralson (1805–54), U.S. Congressman",113.61,"32,038","282 sq mi
(730 km2)",
Harris County,145,Hamilton,1827,Muscogee and Troup counties,"Charles Harris (1772–1827), prominent attorney from Savannah",79.00,"36,654","464 sq mi
(1,202 km2)",
Hart County,147,Hartwell,1853,Elbert and Franklin counties,"Nancy Morgan Hart (1735–1830), a heroine of the Revolutionary War",118.78,"27,556","232 sq mi
(601 km2)",
Heard County,149,Franklin,1830,"Carroll, Coweta and Troup counties","Stephen Heard (1740–1815), a hero of the Revolutionary War",40.66,"12,034","296 sq mi
(767 km2)",
Henry County,151,McDonough,1821,Creek Cession of 1821,"Patrick Henry (1736–99), prominent lawyer, orator, and a Founding Father of the United States",788.28,"254,613","323 sq mi
(837 km2)",
Houston County,153,Perry,1821,Creek Cession of 1821,"John Houstoun (1744–1796), member of the Continental Congress; became governor of Georgia in 1778",456.16,"171,974","377 sq mi
(976 km2)",
Irwin County,155,Ocilla,1818,Creek Cessions of 1814 and 1818,"Jared Irwin (1751–1818), the governor who rescinded the Yazoo Act in 1796",25.55,"9,120","357 sq mi
(925 km2)",
Jackson County,157,Jefferson,1796,Franklin County,"General James Jackson (1757–1806), a hero of the Revolutionary War",259.11,"88,615","342 sq mi
(886 km2)",
Jasper County,159,Monticello,1807,Baldwin (FKA Randolph County 1807–12),"Sergeant William Jasper (1750–1779), a hero of the Revolutionary War",44.47,"16,455","370 sq mi
(958 km2)",
Jeff Davis County,161,Hazlehurst,1905,Appling and Coffee counties,"Jefferson Davis (1808–89), the first and only President of the Confederate States of America",44.76,"14,906","333 sq mi
(862 km2)",
Jefferson County,163,Louisville,1796,Burke and Warren counties,"Thomas Jefferson (1743–1826), third President of the United States",28.76,"15,183","528 sq mi
(1,368 km2)",
Jenkins County,165,Millen,1905,"Bulloch, Burke, Emanuel, and Screven counties","Charles Jones Jenkins (1805–83), governor of Georgia, who was the author of the famous Georgia Platform of 1850",24.65,"8,627","350 sq mi
(906 km2)",
Johnson County,167,Wrightsville,1858,"Emanuel, Laurens and Washington counties","Herschel Vespasian Johnson (1812–80), U.S. Senator; Governor of Georgia",30.53,"9,282","304 sq mi
(787 km2)",
Jones County,169,Gray,1807,Baldwin County,"James Jones (1769–1801), U.S. Congressman",73.53,"28,969","394 sq mi
(1,020 km2)",
Lamar County,171,Barnesville,1920,Monroe and Pike counties,"Lucius Quintus Cincinnatus Lamar (1825–93), U.S. Senator; Associate Justice of the U.S. Supreme Court",110.28,"20,401","185 sq mi
(479 km2)",
Lanier County,173,Lakeland,1920,"Berrien, Clinch and Lowndes counties","Sidney Lanier (1842–1881), attorney, linguist, mathematician, and musician",55.89,"10,452","187 sq mi
(484 km2)",
Laurens County,175,Dublin,1807,Wilkinson County,"Colonel John Laurens (1754–82), aide to George Washington during the Revolutionary War",61.43,"49,941","813 sq mi
(2,106 km2)",
Lee County,177,Leesburg,1826,Creek Cessions of 1826,"Lieutenant Colonel Henry Lee III (1732–1794), a hero of the Revolutionary War, who attained the nickname ""Light-Horse Harry""",95.15,"33,872","356 sq mi
(922 km2)",
Liberty County,179,Hinesville,1777,"St Andrew, St James, and St John Parishes",Named in honor of the noted patriotism of the citizens of Midway in their support of the cause of colonial independence,133.35,"69,210","519 sq mi
(1,344 km2)",
Lincoln County,181,Lincolnton,1796,Wilkes County,"General Benjamin Lincoln (1733–1810), a hero of the Revolutionary War; was later assigned to the suppression of Shays' Rebellion",37.34,"7,879","211 sq mi
(546 km2)",
Long County,183,Ludowici,1920,Liberty County,"Dr. Crawford Williamson Long (1815–78), in 1842 the first man to use diethyl ether as an anesthetic for dental surgery",48.86,"19,594","401 sq mi
(1,039 km2)",
Lowndes County,185,Valdosta,1825,Irwin County,"William Jones Lowndes (1782–1822), prominent figure in the affairs of South Carolina throughout the formative years of the United States",239.51,"120,712","504 sq mi
(1,305 km2)",
Lumpkin County,187,Dahlonega,1832,"Cherokee, Habersham, and Hall counties","Wilson Lumpkin (1783–1870), Governor of Georgia; U.S. Senator",124.15,"35,258","284 sq mi
(736 km2)",
Macon County,193,Oglethorpe,1837,Houston and Marion counties,"General Nathaniel Macon (1758–1837), Speaker of the House of Representatives; U.S. Senator",29.32,"11,817","403 sq mi
(1,044 km2)",
Madison County,195,Danielsville,1811,"Clarke, Elbert, Franklin, Jackson and Oglethorpe counties","James Madison (1751–1836), fourth President of the United States; chief writer of the U.S. Constitution",113.35,"32,191","284 sq mi
(736 km2)",
Marion County,197,Buena Vista,1827,Lee and Muscogee counties,"General Francis Marion (1732–95), the ""Swamp Fox""; a hero of the Revolutionary War",20.27,"7,440","367 sq mi
(951 km2)",
McDuffie County,189,Thomson,1870,Columbia and Warren counties,"George McDuffie (1790–1851), orator and governor of South Carolina",83.84,"21,799","260 sq mi
(673 km2)",
McIntosh County,191,Darien,1793,Liberty County,"General Lachlan McIntosh (1727–1806), a hero of the Revolutionary War",26.50,"11,501","434 sq mi
(1,124 km2)",
Meriwether County,199,Greenville,1827,Formed from Troup County,"General David Meriwether (1755–1822), a hero of the Revolutionary War; U.S. Congressman",41.61,"20,931","503 sq mi
(1,303 km2)",
Miller County,201,Colquitt,1856,Baker and Early counties,"Andrew Jackson Miller (1806–56), president of the Medical College of Georgia",20.31,"5,747","283 sq mi
(733 km2)",
Mitchell County,205,Camilla,1857,Baker County,"Gen. Henry Mitchell (1760–1839), a hero of the Revolutionary War",41.24,"21,114","512 sq mi
(1,326 km2)",
Monroe County,207,Forsyth,1821,Creek Cession of 1821,"James Monroe (1758–1831), the fifth President of the United States and the creator of the Monroe Doctrine of 1823",77.34,"30,625","396 sq mi
(1,026 km2)",
Montgomery County,209,Mount Vernon,1793,Washington County,"General Richard Montgomery (1738–75), a hero of the Revolutionary War",35.76,"8,761","245 sq mi
(635 km2)",
Morgan County,211,Madison,1807,Baldwin County,"General Daniel Morgan (1736–1802), a hero of the Revolutionary War; U.S. Congressman",61.31,"21,460","350 sq mi
(906 km2)",
Murray County,213,Chatsworth,1832,Cherokee County,"Thomas W. Murray (1790–1832), famous state legislator",119.29,"41,035","344 sq mi
(891 km2)",
Muscogee County,215,Columbus,1826,Creek Cession of 1826,"Muskogee ethnic group, to which the Creek and Seminole Nations belong",934.62,"201,877","216 sq mi
(559 km2)",
Newton County,217,Covington,1821,"Henry, Jasper, and Walton counties","Sergeant John Newton (1755–80), a hero of the Revolutionary War",435.27,"120,135","276 sq mi
(715 km2)",
Oconee County,219,Watkinsville,1875,Clarke County,"Oconee River, which forms its eastern boundary",237.54,"44,182","186 sq mi
(482 km2)",
Oglethorpe County,221,Lexington,1793,Wilkes County,"General James Edward Oglethorpe (1696–1785), the founder of the Colony of Georgia",35.72,"15,754","441 sq mi
(1,142 km2)",
Paulding County,223,Dallas,1832,Cherokee County,"John Paulding (1759–1818), a hero of the Revolutionary War",583.32,"183,164","314 sq mi
(813 km2)",
Peach County,225,Fort Valley,1924,Houston and Macon counties,Its location in Central Georgia is one of the richest peach-producing regions in the country.,190.76,"28,805","151 sq mi
(391 km2)",
Pickens County,227,Jasper,1853,Cherokee and Gilmer counties,"General Andrew Pickens (1739–1817), a hero of the Revolutionary War; U.S. Congressman",155.04,"35,969","232 sq mi
(601 km2)",
Pierce County,229,Blackshear,1857,Appling and Ware counties,"Franklin Pierce (1804–1869), fourteenth President of the United States",59.55,"20,425","343 sq mi
(888 km2)",
Pike County,231,Zebulon,1822,Monroe County,"General Zebulon Pike (1779–1813), explorer and a hero of the War of 1812",93.86,"20,461","218 sq mi
(565 km2)",
Polk County,233,Cedartown,1851,Floyd and Paulding counties,"James Knox Polk (1795–1849), eleventh President of the United States",142.20,"44,223","311 sq mi
(805 km2)",
Pulaski County,235,Hawkinsville,1808,Laurens County,"Count Kazimierz Pułaski of Poland (1748–79), a hero of the Revolutionary War",40.87,"10,095","247 sq mi
(640 km2)",
Putnam County,237,Eatonton,1807,Baldwin County,"General Israel Putnam (1718–90), a hero of the Revolutionary War",67.24,"23,129","344 sq mi
(891 km2)",
Quitman County,239,Georgetown,1858,Randolph and Stewart counties,"General John Anthony Quitman (1799–1858), a hero of the Mexican-American War",15.00,"2,280","152 sq mi
(394 km2)",
Rabun County,241,Clayton,1819,Cherokee Cession of 1819,"William Rabun (1771–1819), Governor of Georgia (1817–19)",47.01,"17,442","371 sq mi
(961 km2)",
Randolph County,243,Cuthbert,1828,Lee County,"John Randolph of Roanoke (1773–1833), U.S. Congressman",14.17,"6,078","429 sq mi
(1,111 km2)",
Richmond County,245,Augusta,1777,St Paul Parish,"Charles Lennox, 3rd Duke of Richmond (1735–1806), who sympathized with the cause of American independence",633.99,"205,414","324 sq mi
(839 km2)",
Rockdale County,247,Conyers,1870,Henry and Newton counties,"Rockdale Church, which was so named for the subterranean bed of granite that underlies this region of the state",732.73,"95,987","131 sq mi
(339 km2)",
Schley County,249,Ellaville,1857,Marion and Sumter counties,"William Schley (1786–1858), governor of Georgia (1835–37)",26.94,"4,526","168 sq mi
(435 km2)",
Screven County,251,Sylvania,1793,Burke and Effingham counties,"General James Screven (1744–1778), a hero of the Revolutionary War",21.87,"14,174","648 sq mi
(1,678 km2)",
Seminole County,253,Donalsonville,1920,Decatur and Early counties,Seminole Nation,38.20,"9,092","238 sq mi
(616 km2)",
Spalding County,255,Griffin,1851,"Fayette, Henry, and Pike counties","Thomas Spalding (1774–1851), U.S. Congressman, state legislator, and agriculturalist",353.26,"69,946","198 sq mi
(513 km2)",
Stephens County,257,Toccoa,1905,Franklin and Habersham counties,"Alexander Stephens (1812–83), U.S. Congressman; Governor of Georgia; first and only Vice President of the Confederate States of America",152.11,"27,228","179 sq mi
(464 km2)",
Stewart County,259,Lumpkin,1830,Randolph County,"General Daniel Stewart (1759–1829), a hero of the Revolutionary War and the War of 1812",10.18,"4,674","459 sq mi
(1,189 km2)",
Sumter County,261,Americus,1831,Lee County,"General Thomas Sumter (1734–1832), the ""Fighting Gamecock,"" a hero of the Revolutionary War",59.57,"28,890","485 sq mi
(1,256 km2)",
Talbot County,263,Talbotton,1827,Muscogee County,"Matthew Talbot (1762–1827), served in the Georgia State Senate for 15 years, including two years as the President of the Senate, and Governor of Georgia for two weeks in 1819",14.55,"5,718","393 sq mi
(1,018 km2)",
Taliaferro County,265,Crawfordville,1825,"Greene, Hancock, Oglethorpe, Warren, and Wilkes counties","Colonel Benjamin Taliaferro (1750–1821), U.S. Congressman; a hero of the Revolutionary War",8.25,"1,609","195 sq mi
(505 km2)",
Tattnall County,267,Reidsville,1801,Montgomery County,"Josiah Tattnall (1764–1803), U.S. Senator; Governor of Georgia",50.20,"24,296","484 sq mi
(1,254 km2)",
Taylor County,269,Butler,1852,"Macon, Marion and Talbot counties","Zachary Taylor (1784–1850), the twelfth President of the United States",20.52,"7,758","378 sq mi
(979 km2)",
Telfair County,271,McRae-Helena,1807,Wilkinson County,"Edward Telfair (1735–1807), the second Governor of Georgia following the establishment of the United States",24.76,"10,920","441 sq mi
(1,142 km2)",
Terrell County,273,Dawson,1856,Lee and Randolph counties,"Dr. William Terrell (1778–1855), U.S. Congressman",25.95,"8,718","336 sq mi
(870 km2)",
Thomas County,275,Thomasville,1825,Decatur and Irwin counties,"General Jett Thomas (1776–1817), a hero of the War of 1812",83.30,"45,649","548 sq mi
(1,419 km2)",
Tift County,277,Tifton,1905,"Berrien, Irwin and Worth counties","Colonel Nelson Tift (1810–91), a captain in the Confederate States Navy; U.S. Congressman",156.81,"41,554","265 sq mi
(686 km2)",
Toombs County,279,Lyons,1905,"Emanuel, Montgomery, and Tattnall counties","General Robert Toombs (1810–85), U.S. Senator; Confederate States Secretary of State",73.68,"27,040","367 sq mi
(951 km2)",
Towns County,281,Hiawassee,1856,Rabun and Union counties,"George Washington Towns (1801–54), governor of Georgia during the antebellum period",78.52,"13,035","166 sq mi
(430 km2)",
Treutlen County,283,Soperton,1918,Emanuel and Montgomery counties,"John A. Treutlen (1726–82), the first elected Governor of Georgia (1777–78)",31.55,"6,341","201 sq mi
(521 km2)",
Troup County,285,LaGrange,1826,Creek Cession of 1826,"George M. Troup (1780–1856), Governor of Georgia (1823–27); U.S. Senator",170.87,"70,742","414 sq mi
(1,072 km2)",
Turner County,287,Ashburn,1905,"Dooly, Irwin, Wilcox and Worth counties","Captain Henry Gray Turner (1839–1904), U.S. Congressman; a hero of the American Civil War",31.15,"8,909","286 sq mi
(741 km2)",
Twiggs County,289,Jeffersonville,1809,Wilkinson County,"General John Twiggs (1750–1816), a hero of the Revolutionary War; Governor of Georgia",21.36,"7,691","360 sq mi
(932 km2)",
Union County,291,Blairsville,1832,Cherokee County,Federal union of the states,83.98,"27,124","323 sq mi
(837 km2)",
Upson County,293,Thomaston,1824,Crawford and Pike counties,"Stephen Upson (1786–1824), state legislator",86.70,"28,263","326 sq mi
(844 km2)",
Walker County,295,LaFayette,1833,Murray County,"Major Freeman Walker (1780–1827), U.S. Senator (1819–1821)",155.80,"69,489","446 sq mi
(1,155 km2)",
Walton County,297,Monroe,1818,Creek Cession of 1818,"George Walton (1749–1804), one of Georgia's delegates to the Continental Congress who signed the Declaration of Independence",324.32,"106,702","329 sq mi
(852 km2)",
Ware County,299,Waycross,1824,Appling County,"Nicholas Ware (1769–1824), U.S. Senator (1821–24)",40.14,"36,243","903 sq mi
(2,339 km2)",
Warren County,301,Warrenton,1793,"Columbia, Hancock, Richmond, and Wilkes counties","General Joseph Warren (1741–75), a hero of the Revolutionary War",17.85,"5,106","286 sq mi
(741 km2)",
Washington County,303,Sandersville,1784,Creek Cession of 1783,"George Washington (1732–99), the first President of the United States, although named after him as a general",29.15,"19,820","680 sq mi
(1,761 km2)",
Wayne County,305,Jesup,1803,Creek Cession of 1802,"General Anthony Wayne (1745–96), known as ""Mad Anthony Wayne""; U.S. Congressman; a hero of the Revolutionary War and the Northwest Indian War",48.64,"31,373","645 sq mi
(1,671 km2)",
Webster County,307,Preston,1853,Stewart County (Formally Kinchafoonee),"Daniel Webster (1782–1852), U.S. Secretary of State; supported Henry Clay's Compromise of 1850",11.13,"2,337","210 sq mi
(544 km2)",
Wheeler County,309,Alamo,1912,Montgomery County,"General Joseph Wheeler (1836–1906), U.S. Congressman; a hero of the American Civil War and the Spanish–American War",23.76,"7,081","298 sq mi
(772 km2)",
White County,311,Cleveland,1857,Habersham County,"Colonel John White, a hero of the Revolutionary War",119.94,"29,026","242 sq mi
(627 km2)",
