"","state.code","age","income","residents","education.code","education","metro.size","degree"
"145967",6,33,175007,1,44,18,2500000,"4-year degree"
"145974",6,34,113615,1,40,13,2500000,"no 4-year degree"
"146055",6,34,178000,1,43,16,2500000,"4-year degree"
"146129",6,34,167210,1,43,16,1e+06,"4-year degree"
"146148",6,30,53332,1,43,16,1e+06,"4-year degree"
"146153",6,26,141050,1,44,18,1e+06,"4-year degree"
"146193",6,28,146106,1,43,16,1e+06,"4-year degree"
"146227",6,31,45409,1,43,16,1e+06,"4-year degree"
"146392",6,30,90120,1,44,18,1e+06,"4-year degree"
"146496",6,30,143452,1,44,18,1e+06,"4-year degree"
"146497",6,35,63335,1,44,18,1e+06,"4-year degree"
"146560",6,30,96200,1,43,16,1e+06,"4-year degree"
"146817",6,31,28000,1,39,12,1e+06,"no 4-year degree"
"146842",6,29,161055,1,44,18,1e+06,"4-year degree"
"146913",6,34,109797,1,46,20,1e+06,"4-year degree"
"146945",6,32,65000,1,43,16,250000,"4-year degree"
"146973",6,27,50000,1,42,14,250000,"no 4-year degree"
"147154",6,25,55001,1,43,16,250000,"4-year degree"
"147371",6,29,72110,1,43,16,250000,"4-year degree"
"147460",6,26,43900,1,41,14,5e+05,"no 4-year degree"
"147605",6,29,41665,1,40,13,5e+05,"no 4-year degree"
"147815",6,34,58001,1,43,16,0,"4-year degree"
"147845",6,33,12000,1,42,14,0,"no 4-year degree"
"147889",6,33,59900,1,38,11,0,"no 4-year degree"
"147915",6,35,215100,1,43,16,250000,"4-year degree"
"148071",6,33,38411,1,42,14,250000,"no 4-year degree"
"148081",6,26,0,1,36,10,250000,"no 4-year degree"
